	adjusted_p_values	mean_all	mean_kmeans_1	pvalues	ratio kmeans_1 to kmeans_0
Cav1	1.6039640139797268e-31	4.384348786816015	7.49288860115257	1.399009170501288e-35	0.15592046639873242
Akap5	1.1527985736262826e-30	5.345578865533837	8.763715544346251	2.010987481249512e-34	0.19265962912506687
Pdpn	1.146852768829132e-28	3.8247791480442523	6.577932220446966	3.0009230758721293e-32	0.16215823511673652
Ahnak	2.0335766733611805e-27	4.674715494575006	6.992975154313564	7.094903352328585e-31	0.331138838708675
S100a6	3.7962024072825464e-27	3.741250253395462	6.2461448826319454	1.6555614510608577e-30	0.20280454912564588
Clic5	8.952880396481569e-27	4.7390813053248255	7.40892857019189	4.685327726026116e-30	0.2678027097670783
Hopx	1.3067017093126953e-26	3.366238787549456	5.530850852897633	7.978117719309958e-30	0.2356492913910746
Sdpr	2.23636182581935e-25	3.5423512564662616	6.062779004256847	1.5604792504626954e-28	0.17703569562240173
Rtkn2	4.954969168831587e-24	3.2685389198195796	5.7037120263036805	3.8896399929772594e-27	0.16228391882298374
Actb	6.10945302367386e-23	10.206408129833614	11.515249691881507	5.328785890688059e-26	0.7588263132812981
Clic3	1.1278780907932408e-22	5.084369914399454	7.2492783055986365	1.0821333622961752e-25	0.39479022818997656
Slc34a2	1.2085374286205302e-22	5.129037614465891	2.1657483483493434	1.2649323282552432e-25	3.1586390159454085
Agrn	2.145886390168458e-22	3.096647583735187	5.114932926157311	2.4331899757688577e-25	0.23884477674377277
Dpysl2	2.6427633794908713e-22	6.518149657450423	9.22573093698518	3.2270987625706237e-25	0.3893821371156774
Lamp3	1.5279624845579717e-21	4.085362003612396	1.2860484738883424	1.9990786976336306e-24	3.823894526457118
Lyz2	1.950933113523007e-21	4.665559878342134	0.7189162716850451	2.7226279822388237e-24	6.294873036783574
Sftpa1	4.894141513382353e-21	6.006084428921483	2.36854136423762	7.256904119276058e-24	3.4902825328659786
Cxcl15	1.5896916251682772e-20	5.228100926066617	2.3437018160489966	2.495808918711643e-23	2.989345314077169
Tmem213	2.3258029049631965e-20	3.691439649438807	5.7158501176819225	3.8543615520541414e-23	0.3048477340980097
Gprc5a	2.803216175032688e-20	4.933044470950694	7.340598029974376	4.890041299664523e-23	0.33432671258918323
Cd36	1.0707148960837048e-19	4.171810092703202	1.4673676205144024	1.9611873369173833e-22	3.5277041999068626
Myh9	1.0830724165852904e-19	4.11848606805405	5.799281203614168	2.0782898530201824e-22	0.42992218174613445
Krt7	6.267705125303365e-19	3.2727656020045575	5.392174741180888	1.25736779661559e-21	0.23537494009055968
Fstl1	6.598108982019738e-19	5.98466823493491	8.816386316693613	1.38120031023527e-21	0.3347563526081027
Scd1	9.602595171226821e-19	4.227234343623395	1.4608515311710861	2.0938934084663804e-21	3.592443073244486
Lgals3	3.514193327412572e-18	3.225050828707054	5.181599091972778	7.969387397533963e-21	0.2700853281979567
Msln	4.835498821907381e-18	2.7962235636739377	4.823939059557	1.138756809345829e-20	0.19707947192094963
Rps19	7.30814451465379e-18	8.426041999760495	9.463859366548423	1.7848063358945148e-20	0.7712761760596949
Hc	1.1887703762676657e-17	3.2144572531457465	0.8581812647330307	3.006920271414069e-20	3.9242900334865
Krt19	3.046284134756135e-17	3.2487631855223116	5.2761337021055414	7.971088010700745e-20	0.2550565551012036
2200002D01Rik	3.5042972064087734e-17	1.7909437011828566	3.085543479963162	9.475203959762057e-20	0.26925129375536705
Qk	3.8669319555068885e-17	4.963288069659588	7.153915297368038	1.0793006766351542e-19	0.38043817688478454
Lmo7	4.1373351162468347e-17	5.273326826914959	7.240254467128074	1.1908596496829092e-19	0.4495344767920961
Ppp3ca	1.2930140513054247e-16	3.69034577035019	5.493733021903678	3.8344943518869986e-19	0.35956224085850774
Chil1	1.2953266352809591e-16	3.7366147797774065	1.1794933537017593	3.9543333828899755e-19	3.705690804435785
Tmsb10	1.8033924014474644e-16	2.3839584198218713	3.6483100569602787	5.662636410999452e-19	0.37272908689836654
Gm10076	3.060026515832615e-16	3.8823089749053215	5.444992999635823	9.875358140933864e-19	0.4408464508345595
S100g	3.1678891893498154e-16	2.127255174118344	0.4376737788690398	1.0499763558246225e-18	3.710198685008924
Limch1	1.2022521629669153e-15	3.9848441864836595	5.944469315998839	4.0896497475542694e-18	0.3492468182776471
Itgb6	1.214509498037762e-15	3.085272488398372	5.341115519539034	4.2372769229402945e-18	0.17960014457112014
Emp2	1.2632112292303288e-15	6.616462005872445	8.679205084265838	4.5173711642776695e-18	0.5085404144093425
Dag1	1.433268801144529e-15	3.869683793736004	5.604441417172719	5.250526790062819e-18	0.3942616420907724
Sftpb	1.8670673222732994e-15	3.1554169318220673	1.495785634944153	7.002520266703172e-18	2.5335103052009162
Ptrf	2.479864927450774e-15	4.300166025354171	6.1704367643104225	9.517144073949764e-18	0.3984922427258242
Col4a3	5.68357698108377e-15	3.6982911669273717	5.9637118619837635	2.230797768414912e-17	0.24977689703487668
Vegfa	1.3533827046926712e-14	3.5205772704024123	5.132888069357285	5.430057079447264e-17	0.39372998721763547
Rps19-ps6	1.9285792993649022e-14	2.310729921468769	3.445061332465201	7.90608173311386e-17	0.4115025787437665
Cnn2	2.1465795894648442e-14	3.808048252035486	5.623565006688553	8.986988250703229e-17	0.36789267710422885
Rnase4	2.264310661815493e-14	4.545897577904601	2.183154926060376	9.808990428345394e-17	2.7117526470265774
Sparc	2.264310661815493e-14	5.813028008299832	7.551838445428811	9.874882956020466e-17	0.5311055267038446
Pmp22	3.926852962720391e-14	2.8405871051867764	4.778132140313453	1.7467902407216743e-16	0.2267023333993557
Atxn1	4.126032859008503e-14	3.3349772289954487	5.1142255678796005	1.871379927330503e-16	0.32891508645577194
Rgcc	4.6222190899451405e-14	4.3132512024648335	6.114809974140487	2.13674323390399e-16	0.41606098523815793
Ager	4.739630971779961e-14	7.117864087500456	9.117960089357046	2.2323599867083986e-16	0.5441308080620316
Timp3	5.0794165639005005e-14	6.667563923063149	8.717017137973066	2.4367022330093983e-16	0.5136069022079504
Cryab	5.3879171226982196e-14	3.742828550999654	5.567121993579387	2.6316908754566096e-16	0.3593778118371228
H2-Aa	6.184126881881944e-14	2.241806824346502	0.21146612960842587	3.074533207738951e-16	4.8649155273748335
Lamc2	7.249650923845103e-14	3.3149087361372	5.223598392494308	3.667507663175019e-16	0.2927448419601257
Egfl6	9.322966461394174e-14	3.422578932067197	1.488242738731544	4.797688802636339e-16	2.792757615601085
Fbln5	1.0514498314628522e-13	2.3601543530599622	4.085425570784765	5.502572166399575e-16	0.21762955127479183
Cd74	1.6717780307684313e-13	2.0506724091943735	0.5225582650894562	8.894763181585199e-16	3.314537586590511
