	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Cav1	1.6039640139797368e-31	4.384348786816015	7.492888601152571	0.3242151517641869	1.399009170501297e-35	6.41352622331644
Akap5	1.152798573626255e-30	5.345578865533837	8.763715544346251	0.881073815656399	2.0109874812494635e-34	5.190501012284417
Pdpn	1.1468527688291568e-28	3.8247791480442523	6.577932220446966	0.22882411470193242	3.0009230758721945e-32	6.166816007093981
Ahnak	2.033576673361265e-27	4.674715494575006	6.992975154313564	1.6467845104266854	7.094903352328878e-31	3.019881340103893
S100a6	3.796202407282585e-27	3.741250253395462	6.2461448826319454	0.469551145821278	1.6555614510608745e-30	4.93085586251055
Clic5	8.952880396481033e-27	4.7390813053248255	7.40892857019189	1.2519338573351912	4.685327726025835e-30	3.7340921638535733
Hopx	1.306701709312721e-26	3.366238787549456	5.530850852897633	0.5389903756661223	7.978117719310116e-30	4.243594343512954
Sdpr	2.236361825819393e-25	3.5423512564662616	6.062779004256848	0.25036399404590487	1.560479250462725e-28	5.648578364291535
Rtkn2	4.9549691688317624e-24	3.2685389198195796	5.7037120263036805	0.08790465828932632	3.889639992977397e-27	6.162040005274837
Actb	6.10945302367386e-23	10.206408129833614	11.515249691881507	8.496900783485346	5.328785890688059e-26	1.3178246227069073
Clic3	1.1278780907932408e-22	5.084369914399454	7.2492783055986365	2.2567344646699086	1.0821333622961752e-25	2.5329907596365104
Slc34a2	1.20853742862054e-22	5.129037614465891	2.1657483483493434	8.999456247760973	1.2649323282552536e-25	0.31659204959851706
Agrn	2.145886390168458e-22	3.096647583735187	5.11493292615731	0.46051978955118816	2.4331899757688577e-25	4.186819630863341
Dpysl2	2.6427633794908713e-22	6.518149657450423	9.22573093698518	2.9817169658131872	3.2270987625706237e-25	2.5681712248215454
Lamp3	1.5279624845579353e-21	4.085362003612396	1.2860484738883424	7.741608246517282	1.9990786976335828e-24	0.2615134892139693
Lyz2	1.950933113523007e-21	4.665559878342134	0.718916271685045	9.82035969111874	2.7226279822388237e-24	0.15885943912714073
