	kmeans_0_cells2	kmeans_1_cells
0	SRR1033925_C18.5_3	SRR1033982_AT2
1	SRR1033931_C18.5_3	SRR1034022_AT2
2	SRR1033930_C18.5_3	SRR1034013_AT2
3	SRR1033903_C18.5_2	SRR1034020_AT2
4	SRR1033884_C18.5_2	SRR1033981_AT2
5	SRR1033854_C18.5_1	SRR1033921_C18.5_3
6	SRR1033913_C18.5_3	SRR1034017_AT2
7	SRR1033859_C18.5_1	SRR1033994_AT2
8	SRR1033886_C18.5_2	SRR1033995_AT2
9	SRR1033905_C18.5_2	SRR1033997_AT2
10	SRR1033866_C18.5_1	SRR1034018_AT2
11	SRR1033911_C18.5_3	SRR1033986_AT2
12	SRR1033887_C18.5_2	SRR1033983_AT2
13	SRR1033892_C18.5_2	SRR1034006_AT2
14	SRR1033865_C18.5_1	SRR1034002_AT2
15	SRR1033920_C18.5_3	SRR1033988_AT2
16	SRR1033868_C18.5_1	SRR1034014_AT2
17	SRR1033923_C18.5_3	SRR1034008_AT2
18	SRR1033917_C18.5_3	SRR1033991_AT2
19	SRR1033924_C18.5_3	SRR1034007_AT2
20	SRR1033999_AT2	SRR1033856_C18.5_1
21	SRR1033858_C18.5_1	SRR1034001_AT2
22	SRR1033857_C18.5_1	SRR1034010_AT2
23		SRR1033915_C18.5_3
24		SRR1033914_C18.5_3
25		SRR1033853_C18.5_1
26		SRR1034021_AT2
27		SRR1033993_AT2
28		SRR1033855_C18.5_1
29		SRR1033932_C18.5_3
30		SRR1034026_AT2
31		SRR1034024_AT2
32		SRR1034005_AT2
33		SRR1033996_AT2
34		SRR1034009_AT2
