	adjusted_p_values	mean_all	mean_kmeans_1	pvalues	ratio kmeans_1 to kmeans_0
Akap5	3.688225625093941e-23	5.345578865533837	1.090801848082124	3.315855097630083e-27	5.167921188320099
Pdpn	5.297066522328367e-23	3.8247791480442523	0.04664886740162677	9.52452849470173e-27	8.2790167311977
Clic5	3.850115657894039e-21	4.7390813053248255	1.0454112245564393	1.0384201181050182e-24	4.537063265839967
Ager	1.9335702855680123e-16	7.117864087500456	2.715451672584003	6.953412876267238e-20	2.9221037439868742
Clic3	3.137056614156256e-15	5.084369914399454	1.3292440046785468	1.4101665981103373e-18	3.6234029358771997
Rtkn2	4.57415660201782e-15	3.2685389198195796	0.09953135785753114	2.467404442336323e-18	7.075684154517234
Ahnak	6.231015231891782e-15	4.674715494575006	1.2289768955724283	3.921343758270473e-18	3.7949830780002296
Cav1	7.391054017307855e-15	4.384348786816015	0.9989450481803248	5.315870910587327e-18	4.664236040965993
Timp3	1.0554165997766258e-14	6.667563923063149	3.0257437457707894	8.539736939665226e-18	2.551723432006998
Hopx	1.5875705109735162e-13	3.366238787549456	0.4370315601083662	1.4272862635741404e-16	4.991296712402568
Lmo7	1.8775418498342953e-13	5.273326826914959	2.2613813088582053	1.8567796770814752e-16	2.6947641825549122
Dpysl2	1.9738224043681168e-13	6.518149657450423	2.324153768612391	2.1294496855540235e-16	3.239912399045048
S100a6	2.1542816117672397e-13	3.741250253395462	0.5495408296393658	2.517815423264777e-16	5.005064598686042
Sparc	3.8441105729540264e-13	5.813028008299832	2.1316258110325195	4.838402231534332e-16	2.8260068068457262
Cbr2	5.285583412429718e-13	4.164910955344306	5.610741695558873	7.127910742285874e-16	0.16816007781622164
Sdpr	6.55187866033967e-13	3.5423512564662616	0.735122877913385	9.424620926497772e-16	4.692344865199675
Vegfa	2.199887952215602e-12	3.5205772704024123	0.6462764355257631	3.502925988800475e-15	4.001735815566083
Sftpb	2.199887952215602e-12	3.1554169318220673	4.772690700488374	3.560009272667521e-15	0.24396384197080756
Gprc5a	2.350678587660426e-12	4.933044470950694	1.3677518769779575	4.015363945477667e-15	3.6657404057272265
Slc34a2	3.5120092756787595e-12	5.129037614465891	6.98604429410669	6.314859796239791e-15	0.26379472909762886
Lamp3	7.45879318856613e-12	4.085362003612396	5.902175859105109	1.408205133146532e-14	0.17790458672068868
Cldn18	9.981039037899716e-12	7.221332634624819	3.443125448208823	1.974133406758912e-14	2.338867882575455
Sftpa1	1.6274244505885607e-11	6.006084428921483	8.30431005687615	3.4210453935150964e-14	0.18585309494406974
Actb	1.6274244505885607e-11	10.206408129833614	7.809251729529537	3.511479530174005e-14	1.4152111229873412
Emp2	2.653380447670148e-11	6.616462005872445	4.568427672225046	6.152471761718816e-14	1.8705194245792545
Lgals3	2.653380447670148e-11	3.225050828707054	0.04664886740162677	6.20227381456656e-14	6.3761952024382635
Qk	4.248118787851117e-11	4.963288069659588	1.6479494888775137	1.0311894926906424e-13	3.295880070823981
Myh9	1.2198886020917953e-10	4.11848606805405	1.6905324799094121	3.070833485441901e-13	2.6470407392460134
Dag1	1.36062312003597e-10	3.869683793736004	1.3121470279916403	3.666040894577103e-13	3.122493779649212
Msn	1.36062312003597e-10	4.83125635347498	1.5922447684929462	3.669755785406734e-13	3.1435511199211366
Col4a3	1.7777675324198071e-10	3.6982911669273717	0.295963273951023	4.954669918638319e-13	6.223658702350339
Cd36	2.8231296550626566e-10	4.171810092703202	5.401296958676858	8.121922949024994e-13	0.2150715366114638
Iqgap1	3.2236317232900215e-10	7.786148146063692	4.4252235789701055	9.602996258569131e-13	1.8100893104043312
Cryab	3.2236317232900215e-10	3.742828550999654	0.265797769058865	9.853769539859817e-13	5.540344532981921
Chil1	5.327525090264668e-10	3.7366147797774065	4.690703768907544	1.676376680385358e-12	0.2082505796010349
Cd74	9.670903530304352e-10	2.0506724091943735	2.943362290085806	3.156832106939239e-12	0.2535906991133296
Limch1	9.670903530304352e-10	3.9848441864836595	1.4034157392571847	3.2169687190619534e-12	3.2498856476833837
Col4a1	1.0184428818662099e-09	3.4949789158761995	0.705520140346715	3.4793517496103546e-12	3.783551900817879
Cux1	1.2623876539546451e-09	3.8588431561464267	0.8633749240970314	4.513436022589807e-12	3.7043584511359002
Cxcl15	1.2623876539546451e-09	5.228100926066617	6.952837343329524	4.539738034539765e-12	0.253946637013897
Rgcc	2.68750151810118e-09	4.3132512024648335	1.0231523578542387	9.906280881250415e-12	3.6802285253234253
Ptrf	2.80326642333483e-09	4.300166025354171	1.2861681786831913	1.0585021107620504e-11	3.3469184216154764
Cd9	3.111042545778279e-09	7.048532963055608	4.4293866689267825	1.2026865905642901e-11	1.7728170664160452
Gja1	3.599673501197034e-09	6.107602725877819	2.574827492007413	1.4239470830951138e-11	2.617654880601549
Scd1	4.2159266032914585e-09	4.227234343623395	5.241320338909854	1.705625255309859e-11	0.24920979749661912
Agrn	7.790271317403588e-09	3.096647583735187	0.39070079579138556	3.221725079569946e-11	4.685759369300824
Fstl1	7.830799863167353e-09	5.98466823493491	2.611114933363802	3.308887832139401e-11	2.725640698559557
