	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_2	pvalues	ratio kmeans_0 to kmeans_2
Clic3	6.3481339800296075e-06	5.084369914399454	1.3292440046785468	6.815565112189284	8.494727214201104e-10	0.2980263066385077
Ahnak	6.3481339800296075e-06	4.674715494575006	1.2289768955724283	5.998873524064153	1.4222384336754768e-09	0.31847652167288926
Actb	6.3481339800296075e-06	10.206408129833614	7.809251729529537	11.539488835865255	1.6990277402166849e-09	0.7025208000770693
Iqgap1	2.040371127670788e-05	7.786148146063692	4.4252235789701055	8.961446673519262	7.299972796534211e-09	0.5446220570945884
Rhoa	2.040371127670788e-05	4.627360989577546	1.5672919927578222	5.947607664451517	9.101485983008242e-09	0.3695217284496013
Dynlt1b	2.4757698310126466e-05	2.9774503004547412	0.5254564909187929	4.896952614696877	1.325240341339627e-08	0.25868556025309125
Sec14l3	3.208707552348823e-05	4.936291097987459	2.1557043703508234	6.991175264928898	2.3873730918502913e-08	0.39489865579601974
Gm1821	3.208707552348823e-05	2.7949436729613883	0.9827817993589739	4.572500936150748	2.4625205891091137e-08	0.3558154268752079
Hopx	3.208707552348823e-05	3.366238787549456	0.4370315601083662	4.314691963217284	2.5763554260986182e-08	0.270388494771473
2810474O19Rik	3.912993627753304e-05	3.8161074631538883	0.8941080828653073	5.624582609652801	3.490939091581144e-08	0.28592112054054053
Rpl7	6.211666979906326e-05	7.544565612228192	5.953489920996545	8.959268059410032	6.095845907660772e-08	0.6981928671381155
St13	6.807848387818013e-05	4.321622278153878	1.5367140309984313	6.462418470914799	7.288266629834611e-08	0.3399318921721448
Rps7	7.144795160666492e-05	5.354177362016411	3.328756973739255	7.501847100285085	8.636488676352727e-08	0.5091548839538766
Rpl18	7.144795160666492e-05	4.530844028492892	2.5508787923388048	6.710459430049297	9.385057715333656e-08	0.46052752427440014
Btg2	7.144795160666492e-05	5.360876634425107	2.2615127672244566	7.2804742854526845	9.56123895173498e-08	0.3938799463400729
Ndufa13	8.538602841916898e-05	2.8698158835770147	0.7682110466098943	4.47976849682622	1.2188209962589916e-07	0.3226798810267275
Skil	9.508730118518647e-05	4.439052461935576	1.2888789398529132	6.252221715279686	1.502719613356501e-07	0.31561072312922817
Rpl13	9.508730118518647e-05	6.079647586380256	4.1450613858070895	8.393860285814968	1.6014900976510646e-07	0.5477046953291713
Rplp0	9.508730118518647e-05	6.829725006410066	5.263297579043101	8.78545611883335	1.771169019746636e-07	0.6400618942011902
Krt7	9.508730118518647e-05	3.2727656020045575	0.7397637954898266	5.608733139218824	1.7851156539812472e-07	0.2632522389450685
Sod1	9.508730118518647e-05	6.429652577336303	3.9300678355816463	7.938182690119659	1.867058482771949e-07	0.5515738496855053
B4galt1	9.508730118518647e-05	3.1120174341426794	0.43764692008531686	4.840446720798596	1.8947734407770802e-07	0.24615358872561371
Fstl1	9.508730118518647e-05	5.98466823493491	2.611114933363802	8.737632147203287	1.9511177868313755e-07	0.37084117358047236
Gja1	9.852159144946826e-05	6.107602725877819	2.574827492007413	7.458538076179761	2.109481840295511e-07	0.42262947329805706
Hsp90ab1	0.00010139000275803497	7.364256027344418	4.817818912359363	8.825461535925355	2.3298058259592797e-07	0.5921166034885348
Sumo2	0.00010139000275803497	4.2209621723751525	1.7436033246269105	6.143146452122237	2.373310760004084e-07	0.38408890858058536
Gpx1	0.00010139000275803497	4.88266688121531	2.2654300670018577	6.838090778263458	2.442260749814385e-07	0.4166103914052038
Rpl11	0.00011169889578856786	4.9981514385611785	2.6009734210328452	6.915919648657801	2.7902302454098494e-07	0.45490272524979647
Oaz1	0.0001168080893945983	5.885845862383856	3.8678901579464897	7.650912792083927	3.082292243732868e-07	0.5627024887363197
Ndufa1	0.0001168080893945983	3.250754654891262	0.8742058814443916	4.873887895190234	3.143251657354837e-07	0.319074166018569
Pdcd4	0.0001168080893945983	2.6497200351929266	1.1860754176496104	5.085354668844341	3.230485120200328e-07	0.3592354984405148
Rps14	0.00013396486259337147	7.338618434011416	5.938072378697793	8.737851730332773	3.8244942483610375e-07	0.7124849064076577
Plp2	0.00013969785906793356	5.08939214362453	2.1561154763553483	6.745201954403057	4.242566580170762e-07	0.4074929866174934
Ubb	0.00013969785906793356	8.563700917318448	5.632919557798572	10.000942132353636	4.268382004197165e-07	0.6029410461392427
Rps5	0.00013969785906793356	6.1694159636199055	3.552476111838215	7.8851228780831795	4.412412666346788e-07	0.5123706418363386
Agrn	0.00013969785906793356	3.096647583735187	0.39070079579138556	4.1869532105195	4.486682956950316e-07	0.2681151611259859
Rpl27	0.00014183478059519856	3.1288220488195018	1.4295640263754739	5.011547852239097	4.771404597378736e-07	0.4041494946215131
Rgcc	0.00014183478059519856	4.3132512024648335	1.0231523578542387	5.371561615797588	4.808387601585819e-07	0.31752849298954505
