	adjusted_p_values	mean_all	mean_kmeans_2	pvalues	ratio kmeans_2 to kmeans_3
Akap5	3.6882256250939667e-23	5.345578865533837	9.805099171282427	3.315855097630106e-27	0.1935014028967929
Pdpn	5.297066522327573e-23	3.8247791480442523	7.665223484907192	9.524528494700302e-27	0.12078729062494999
Clic5	3.8501156578939335e-21	4.7390813053248255	8.280160130471765	1.0384201181049897e-24	0.22040688908376185
Ager	1.9335702855679566e-16	7.117864087500456	9.856935243060011	6.953412876267038e-20	0.34221919808898194
Clic3	3.1370566141563574e-15	5.084369914399454	7.4397895649266115	1.4101665981103827e-18	0.2759836589241785
Rtkn2	4.574156602017733e-15	3.2685389198195796	6.779936606187352	2.467404442336276e-18	0.14132908962048332
Ahnak	6.231015231891396e-15	4.674715494575006	7.4589295999508485	3.9213437582702304e-18	0.2635057863095798
Cav1	7.391054017307946e-15	4.384348786816015	8.323551537633174	5.3158709105873926e-18	0.21439738281188997
Timp3	1.0554165997765906e-14	6.667563923063149	9.272584647338947	8.539736939664943e-18	0.39189200030720944
Hopx	1.5875705109734907e-13	3.366238787549456	6.172650901587621	1.4272862635741175e-16	0.20034873853825622
Lmo7	1.8775418498343052e-13	5.273326826914959	7.7886535367651515	1.856779677081485e-16	0.3710899849692591
Dpysl2	1.973822404368096e-13	6.518149657450423	9.76996701125961	2.1294496855540008e-16	0.30865032038975687
S100a6	2.154281611767182e-13	3.741250253395462	6.7555519506465895	2.5178154232647095e-16	0.199797621046195
Sparc	3.844110572954066e-13	5.813028008299832	7.849995858471669	4.838402231534381e-16	0.35385618943931674
Cbr2	5.285583412429718e-13	4.164910955344306	0.11166283794812112	7.127910742285874e-16	5.946714660139949
Sdpr	6.551878660339604e-13	3.5423512564662616	7.141794926667356	9.424620926497678e-16	0.2131130657971037
Vegfa	2.1998879522155167e-12	3.5205772704024123	5.587963374365915	3.5029259888005092e-15	0.24989155858569348
Sftpb	2.1998879522155167e-12	3.1554169318220673	0.4083278018002959	3.560009272667383e-15	4.098968076259674
