	adjusted_p_values	mean_all	mean_kmeans_1	mean_kmeans_3	pvalues	ratio kmeans_3 to kmeans_1
Sftpa1	2.866020343444069e-45	6.006084428921483	11.971229858756596	0.729234820389666	2.5253505537440033e-49	0.13331309669316338
Cd36	4.0086796044063806e-45	4.171810092703202	8.77960435142117	0.3767367732089217	9.773506116009174e-49	0.14077632629471912
Lamp3	4.0086796044063806e-45	4.085362003612396	8.646014797456582	0.22792874368760868	1.0596562528169126e-48	0.12729907318941533
Slc34a2	6.51228112707214e-45	5.129037614465891	9.983387366015762	1.1066763911255388	2.295279276437445e-48	0.1918057081045789
Cav1	1.4364144357239658e-39	4.384348786816015	0.08286448028859818	8.323551537633174	6.32837446349443e-43	8.61008160056032
Pdpn	1.6531298609217854e-38	3.8247791480442523	0.2986893995178425	7.665223484907192	8.739782505534155e-42	6.672283217314534
Akap5	7.834723933893636e-37	5.345578865533837	0.8132071367746047	9.805099171282427	4.832414092629787e-40	5.9591091123228805
Cxcl15	1.94827418677751e-36	5.228100926066617	9.85504913516564	1.0195962980570679	1.3733539073240004e-39	0.18605132716667802
Scd1	2.9588456292993955e-35	4.227234343623395	9.029880526533315	0.5553981777712549	2.3464279375887354e-38	0.15507644120551214
Sdpr	3.1683433640497957e-31	3.5423512564662616	0.06232271829687322	7.141794926667356	2.7917379188032387e-34	7.664144601670917
Rtkn2	2.023320972823051e-30	3.2685389198195796	0.08609773154368813	6.779936606187352	1.961100599264566e-33	7.163201229717701
S100a6	1.0131623192635187e-27	3.741250253395462	0.3126554373391986	6.7555519506465895	1.0712792167734799e-30	5.908292252510211
Chil1	2.3710017387722207e-27	3.7366147797774065	8.074356378000076	0.1850923582127899	2.7565026392234686e-30	0.1305979519479679
Clic5	2.3710017387722207e-27	4.7390813053248255	1.2963214742545843	8.280160130471765	2.924841337810476e-30	4.041315745428991
Sftpd	3.0431165466707506e-27	4.4680208588628165	8.171645468084257	0.7636946943235207	4.022094299062583e-30	0.19229861211500962
Sftpb	3.575903759011428e-27	3.1554169318220673	5.610666451983405	0.4083278018002959	5.0413657718021715e-30	0.21303870222914573
Hc	1.531761941495142e-26	3.2144572531457465	7.06041026848122	0.21846431548444703	2.294471143309315e-29	0.15116653804199418
Lyz2	8.233483693535053e-25	4.665559878342134	11.240885668859804	0.29290429981351584	1.305865772170508e-27	0.10562179361764641
Hopx	2.3352685528546273e-24	3.366238787549456	0.4632662768857741	6.172650901587621	3.9096045910862564e-27	4.901808382308215
Cbr2	1.3324368173932286e-22	4.164910955344306	7.0730726448899714	0.11166283794812112	2.3481131683729464e-25	0.1377000910120352
Cd74	6.559782687883827e-22	2.0506724091943735	4.498916875878028	0.0	1.2138112295846361e-24	0.1818539946269559
Sftpc	7.56668453911019e-22	9.543054871756373	14.446678884024063	4.929880835518159	1.4667993643530194e-24	0.3838935786806068
Egfl6	8.749891426306708e-22	3.422578932067197	6.704804038087091	0.9173966617196757	1.773261986122604e-24	0.24885729114477478
Ahnak	3.431475905867184e-21	4.674715494575006	1.743343342660657	7.4589295999508485	7.256623644445539e-24	3.083438178666648
Etv5	1.4693553476588644e-19	3.1742832122354088	6.33289839641868	0.4084518661098608	3.236750699750781e-22	0.1920730098752951
Rnase4	2.1634480992646837e-19	4.545897577904601	8.967147669770007	2.0472029439120796	4.956353033825163e-22	0.30572467117690394
Limch1	3.116594340163324e-18	3.9848441864836595	1.3733752852421641	6.810826316428275	7.414578128858028e-21	3.2910203308328914
Dpysl2	2.846599202036272e-17	6.518149657450423	3.306808999195315	9.76996701125961	7.02306614300957e-20	2.500683687916476
Ly6e	3.4041722037378776e-17	3.130831619763043	6.083347568611907	0.19718767939785228	8.698651326848043e-20	0.16901439154318668
Myh9	3.4589181310845265e-17	4.11848606805405	1.9745043571113585	6.121949084584819	9.143320462819261e-20	2.394331367361379
S100g	3.8008116177241005e-17	2.127255174118344	4.7373860432970565	0.11968581146016281	1.0381986091236858e-19	0.19515608728617506
Acsl4	5.40947524016491e-17	3.845270650502986	6.314628047539657	0.988858384244497	1.5252727789697518e-19	0.2719015063128833
Agrn	1.1161827622851357e-16	3.096647583735187	0.4814169387528145	5.516489283773597	3.2455750423305553e-19	4.398821907126122
Tmem213	1.5231630129446982e-16	3.691439649438807	0.7570030507681363	5.704195846565561	4.563181112002796e-19	3.815699604866698
Actb	3.1121315330383487e-16	10.206408129833614	8.708104559535295	11.466951032825673	9.597726994126548e-19	1.2841797238968384
Msln	4.692979658419224e-16	2.7962235636739377	0.028712075815547067	5.2522962787976235	1.4886533412907926e-18	6.077790302831723
Emp2	5.021955121247164e-16	6.616462005872445	3.779187953618922	9.415852125261589	1.637257374977047e-18	2.1794188105480226
Clic3	8.671541360298577e-16	5.084369914399454	2.5149848274013116	7.4397895649266115	2.9035031429319406e-18	2.4010884767221863
Dram1	1.2104330823548004e-15	3.739577700525016	6.844891432916403	1.029164866442576	4.1595638568893486e-18	0.2586606690219316
Gprc5a	1.548150213677001e-15	4.933044470950694	1.8867983937670878	7.679563726174579	5.4565167457115196e-18	3.006640070506725
Col4a3	3.163529340504697e-15	3.6982911669273717	0.9208572220977082	7.065633107851722	1.1428734070023137e-17	4.198975860914585
Krt19	7.619716914352664e-15	3.2487631855223116	0.3273386167837909	5.428958112905983	2.819879376181266e-17	4.8434951199443566
Tspan8	7.802813775668558e-15	4.185757526390693	1.5560417788503698	7.0288314813787665	2.956392566338426e-17	3.1411190332694376
Lgals3	1.0170658101729884e-14	3.225050828707054	0.8665385347622707	5.673637486963694	3.943157603983742e-17	3.5754083629533384
Pmp22	1.1081567026677012e-14	2.8405871051867764	0.3909469403367503	5.731149252229669	4.3939599629964365e-17	4.83925666539088
Qk	2.7517786781299175e-14	4.963288069659588	2.155328676552321	7.727323948939945	1.1153565881925827e-16	2.7659001148735727
Col4a4	2.877569858304747e-14	3.0125562385936426	0.8202577130311421	5.8815397745379725	1.1916978001614513e-16	3.78053048492713
Lmo7	3.2637809161082743e-14	5.273326826914959	2.800743695882722	7.7886535367651515	1.380399012892741e-16	2.3123510133781826
Ager	5.192234087467462e-14	7.117864087500456	5.195586891302804	9.856935243060011	2.241778749545384e-16	1.7523659071428215
Baiap2l1	6.89430667561525e-14	2.4265187883959634	5.11503926694726	0.5507876041460114	3.0374071176382283e-16	0.2536022315552837
Nupr1	1.1351308142357695e-13	2.4049979397343035	4.456818691948704	0.08359764044125945	5.101037230242686e-16	0.1985768085056702
H2-Aa	1.262215633022678e-13	2.241806824346502	5.540881647843993	0.0	5.783347688534607e-16	0.15288458862875468
Fstl1	1.2940647353357317e-13	5.98466823493491	1.9990914339152097	8.84260182955256	6.043301698193126e-16	3.281861205779707
Itgb6	1.3467164920876036e-13	3.085272488398372	0.14967732482722773	5.79573893891526	6.407850081305013e-16	5.91099675723057
Dag1	2.0202866098437193e-13	3.869683793736004	1.7537225505192573	6.219664712538309	9.790797739131603e-16	2.621783632914263
Krt7	3.0360548577832577e-13	3.2727656020045575	0.3138130379167607	5.243363456095897	1.4980973833453383e-15	4.752094305591339
Fbln5	4.965292898140857e-13	2.3601543530599622	0.14693156321234405	4.858918262114487	2.493802935888879e-15	5.108341639587227
2200002D01Rik	5.523966391124771e-13	1.7909437011828566	0.12928817028399894	3.2464858610999476	2.823068558333216e-15	3.760320857724048
Gm10076	8.269555924900743e-13	3.8823089749053215	1.5199650527888373	5.177327920826801	4.299090664984966e-15	2.451354598743491
Arhgef26	1.1495949004544176e-12	2.441784920922134	0.21676453810108565	4.441796322785772	6.0776891380090805e-15	4.472349540428242
Rps19-ps6	1.2613951611353563e-12	2.310729921468769	0.740553745514592	3.626680266166918	6.7799017384136694e-15	2.658165700478871
Lcn2	1.5283974520471292e-12	1.6486745557382942	4.432114965336001	0.0	8.351667669019392e-15	0.18409036008650556
Rps19	1.5283974520471292e-12	8.426041999760495	7.043854824041032	9.423347878521078	8.484363334123635e-15	1.2958150173680842
Ppp3ca	1.6526225782530303e-12	3.69034577035019	1.330629380647131	5.703875852700137	9.319573971996999e-15	2.8764229561195678
Ptrf	1.7787364742536354e-12	4.300166025354171	1.9861134293931875	6.651618392145878	1.0187494125164007e-14	2.562400448967799
Tmsb10	1.9202281751010262e-12	2.3839584198218713	0.6068479049150881	3.789473032302174	1.1167068425118313e-14	2.9806635821921605
Cat	5.445668522095888e-12	3.829650972908844	6.593982779077002	1.503180116994616	3.2149069607932366e-14	0.3296267834437809
H2-Ab1	1.6003292101050626e-11	1.6208198876600803	4.2909811449365	0.0	9.588720264969977e-14	0.18900086252565954
Atxn1	2.005275488731795e-11	3.3349772289954487	0.9967309385870378	5.476093263929698	1.219173572319093e-13	3.243347983836233
Il33	2.0372079957109672e-11	1.992471251775294	5.000183999326542	0.12495507959618447	1.2635703975297032e-13	0.18748676369298822
Napsa	2.0372079957109672e-11	4.887665886616281	7.596491036514291	2.5180852490931693	1.2744890976780217e-13	0.40924666054438
Vegfa	3.627730107909725e-11	3.5205772704024123	1.6823051199756467	5.587963374365915	2.301494120799191e-13	2.45608276452372
Wdr45	6.405261536197584e-11	2.7377933944577393	0.2286534529290489	5.009991709154644	4.120046630913946e-13	4.891527138777107
Sparc	8.970231272717595e-11	5.813028008299832	4.079057273185897	7.849995858471669	5.848948049881945e-13	1.7424485258699214
Pon3	9.423832483364572e-11	4.419836693255778	7.023465140248031	2.0953239133842323	6.22775078202787e-13	0.38578392992040167
Soat1	1.0389566332996276e-10	3.69885274127594	6.354706535879172	1.8496614593272427	6.957503227665142e-13	0.3874609334071271
Npnt	1.243033980506548e-10	2.920257965874649	0.855842980853389	5.033291448602921	8.433660807031825e-13	3.250970858444381
Ctsc	1.2765306851072978e-10	5.546695347749906	8.13437185536141	3.041889236783481	8.773406770496892e-13	0.4424923027861077
Sema3a	1.3241333378499995e-10	2.999414525981062	0.9623128514108406	5.561685243696316	9.217246778584013e-13	3.3438527597567704
Cd200	1.3998704884561053e-10	2.2786238380927215	4.263360032365219	0.16707666691495898	9.86779796250669e-13	0.22173605068595406
Msn	1.685150890111889e-10	4.83125635347498	2.790064947372352	7.1488539451057065	1.2052186870424264e-12	2.15005654474478
Gclc	1.685150890111889e-10	2.153667014822011	4.33765238910474	0.331247005032957	1.2175731164787636e-12	0.24940683806055064
Rpl36	1.9861559186260512e-10	4.617981866561329	2.0356874921617396	6.011195387700526	1.4525591791872611e-12	2.3095906300644247
Timp3	2.083917738715236e-10	6.667563923063149	4.444976894127646	9.272584647338947	1.5424186276507164e-12	1.88661675652248
mt-Rnr2	2.3191765280545459e-10	11.326608239082525	10.771718943051363	11.939874693164807	1.7369812748668286e-12	1.099234084313828
Lamc2	2.4586979345681233e-10	3.3149087361372	0.8893707755586217	5.401770695970405	1.8773117134521083e-12	3.3883083081337606
Ndnf	2.4586979345681233e-10	3.7154091830208573	1.336726895312366	6.4428996227569275	1.88480676982489e-12	3.185181647751773
Cryab	3.2548485579626646e-10	3.742828550999654	1.8053842193175698	6.012955749665996	2.52380538462168e-12	2.499820060787235
Cldn18	3.3186588092534323e-10	7.221332634624819	6.086968121525494	9.391883409069289	2.6025256324218475e-12	1.466336976669284
Gm14303	4.110214529936191e-10	1.244276395992587	0.22466555484190778	1.897620091659277	3.259488128418867e-12	2.3660501270759844
Tinagl1	6.228162012062529e-10	2.385136999984967	0.7102815067365128	4.534882650367811	4.9939443395690385e-12	3.2362407174297525
Elovl1	8.214591003991414e-10	3.0059253472847898	6.284380247779835	1.0694439292417455	6.659109810267073e-12	0.28409334203448255
Khsrp	9.345008309123856e-10	1.3937271375301543	0.3499353639981545	2.26037614141113	7.657818069860944e-12	2.41520907471803
H2-Eb1	9.358607642702655e-10	1.478642506169613	3.6128997632576354	0.0	7.751424076253852e-12	0.2167833795056927
Pi4k2b	9.456549076424096e-10	2.714820839923856	4.668831696545856	0.5688576454238103	7.91587066931262e-12	0.2767514947356349
Snhg11	9.907317268735154e-10	1.482489769941359	3.7638623825739446	0.053246174338213346	8.3804957070982e-12	0.2210908061053472
Acot7	1.0626857913175054e-09	1.496641458723194	3.6750227858481552	0.05958109161995682	9.08278454117526e-12	0.2266472571700471
Pde7a	1.1226223698215283e-09	2.922204793498564	0.8379600442076166	4.851707412464108	9.693981165081485e-12	3.1838055625343604
Id3	1.181710005601392e-09	2.9888004759165656	0.9847680150161766	5.511706312798149	1.0308334703897946e-11	3.280840009276891
Cnn2	1.1942875428771687e-09	3.808048252035486	1.711172468554525	5.723228023014384	1.0523284367584534e-11	2.479823065848299
Ank3	1.3761564510752867e-09	2.4504652007518817	4.4563827967955145	0.6340112480991389	1.2247052741087668e-11	0.29946785424563305
Cav2	1.4428931187002743e-09	3.171753831221182	0.6185809679631299	5.310451162374519	1.2968111561144416e-11	3.8987553216542374
Atp6v1c2	1.5629513763888016e-09	1.7755489330181873	3.3714556333829013	0.0	1.4184861377041728e-11	0.22875675378321034
Gm43085	1.8499447337695629e-09	1.990410041798233	4.3693951025031055	0.07404855938664663	1.6952529060889466e-11	0.20003157504389024
Pxdn	2.1894376387835727e-09	1.939014300493409	0.007392199078339198	3.7892007859997365	2.0256494146821316e-11	4.754057843987044
Rgcc	2.951083530398259e-09	4.3132512024648335	2.2809326082329973	6.445663018450515	2.7563208584211423e-11	2.2693739578090586
Tmem37	3.375929633754843e-09	2.651176158198741	0.6082809053102745	4.887268993128603	3.182874885996724e-11	3.6605974576268525
Scp2	3.547403748622445e-09	4.513875183658205	6.785562179250605	2.7099605518523298	3.3758005538040715e-11	0.47651800427974106
Mid1ip1	3.927365358371767e-09	1.7448720391830397	3.5174691310921724	0.15487770437059184	3.7719871712267386e-11	0.2556470605237719
Aox3	5.39498431191708e-09	1.4269908835083458	3.2878065148971345	0.03778733243324449	5.2290798688067564e-11	0.2420322206302122
Dbi	6.0079802653739005e-09	3.794908091215522	5.536752888676721	1.9597907886934007	5.876163621962313e-11	0.45279221030681654
Igfbp6	6.5367119519965155e-09	2.258800042743407	0.5290394473626027	4.289292109195864	6.45089204884668e-11	3.4592254099913613
Tjp1	8.720920286324076e-09	2.584091697254776	0.8187075680088787	4.352122539520252	8.683267180849596e-11	2.942816444855814
Gja1	1.2021238136340187e-08	6.107602725877819	3.8319445811990573	8.357664631761798	1.2075259032009703e-10	1.9366249911416977
Lamc1	1.2702997316487134e-08	1.9206710303827816	0.39448201967985225	3.7971300096865095	1.2872012436302937e-10	3.440080217590646
Rpl37a	1.4043067718894938e-08	6.173654559615912	4.76669419887571	7.160961562406209	1.4353651029974559e-10	1.415188890022518
Cdkn1b	1.5190717855205107e-08	1.875232577520558	0.535304812637984	3.053363022411163	1.5660533871345473e-10	2.6401031176647027
Rps19-ps2	1.7564037990251908e-08	0.6309632667629095	0.024077795862754933	1.199220558868492	1.8416781397832207e-10	2.147513175027601
