	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_2	pvalues	ratio kmeans_2 to everything
Scgb3a2	4.066571767651526e-08	1.3727912256875607	0.31422619915307964	5.515002199083356	3.5699866277337603e-12	4.957291372886788
Bmp3	1.417585857208407e-07	0.6689961765820309	0.16775286021138483	2.6303830667280375	2.488957698548691e-11	3.108862491735512
Chad	2.39468259060643e-07	0.595188240793641	0.07722287114158745	2.6220092524755896	6.306775324220253e-11	3.3623582914064603
Upk3a	3.453128029007957e-07	0.6285448435229973	0.0	3.08806814426516	1.2125811707516308e-10	4.08806814426516
Plpp3	6.674559634257774e-07	0.38955643644086035	0.009059369730619358	1.8784580018287598	2.9297513977077405e-10	2.852615106876416
Cyp2f2	1.112743851779603e-06	1.375759224217816	0.5044545575860653	4.785212267559451	5.86117383081171e-10	3.8453885086711876
Lypd2	2.1517712769671578e-06	0.40041653931094645	0.0	1.9672638670494325	1.3223069913765344e-09	2.9672638670494322
Krt15	3.240342135138938e-06	0.6034106359072255	0.12447593903554532	2.4775029280138003	2.4663201360358027e-09	3.0925543244584044
Cldn10	3.240342135138938e-06	2.1367988418351316	1.3407024946832367	5.251958461125154	2.5601860430384025e-09	2.6709752629076515
Myc	3.900190403297042e-06	0.427643685510652	0.02159546040077761	2.0165280446362477	3.423922748921993e-09	2.9527617942358977
Fam13a	1.3962667381721172e-05	0.925797157254176	0.45379287892246517	2.772770420291305	1.515284895808247e-08	2.59512236921097
Mrpl28	1.3962667381721172e-05	1.1327294027612849	0.5759276059400229	3.3115190424966587	1.6251832362100075e-08	2.7358611057040827
Lrrc26	1.3962667381721172e-05	0.2980141688466712	0.0	1.4641565686814715	1.667313538922429e-08	2.4641565686814717
Scgb1a1	1.3962667381721172e-05	2.3039736393577828	1.348551236902279	6.042583040270624	1.7160683288920763e-08	2.9986925256779737
Isca1	1.3983239987470653e-05	1.6587530012472733	1.0479912372307276	4.048690338703323	1.8500333307139706e-08	2.4651913772493037
Rrp1	1.3983239987470653e-05	0.8159401589898506	0.37418002872904876	2.5445667556625544	1.964110611882455e-08	2.5794049408073936
Dcxr	1.6002287532885773e-05	1.930567848458588	1.2578323353135579	4.563011160765227	2.3881914499083324e-08	2.4638725709421028
Kdr	1.6638528291013924e-05	0.3248227646697089	0.013101185929353977	1.544602855392837	2.6292117394280628e-08	2.5116966505755114
Qpct	2.3132632168415504e-05	0.8797956489858277	0.37567324960241866	2.852448516138298	3.9585044499474895e-08	2.8004095574669994
Pir	2.3132632168415504e-05	0.32699719061385474	0.02757244042098385	1.4986592565859582	4.06156301789404e-08	2.4316137318380084
