	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_0	pvalues	ratio kmeans_0 to everything
Scgb3a2	4.001598011026772e-08	1.3727912256875607	0.31422619915307964	5.515002199083356	3.5699866277337603e-12	4.957291372886788
Bmp3	1.39493634215164e-07	0.6689961765820309	0.16775286021138486	2.630383066728038	2.4889576985487377e-11	3.1088624917355125
Chad	2.3564214869727842e-07	0.595188240793641	0.07722287114158745	2.62200925247559	6.306775324220138e-11	3.3623582914064607
Upk3a	3.397955585738727e-07	0.6285448435229973	0.0	3.08806814426516	1.21258117075162e-10	4.08806814426516
Plpp3	6.567916683381213e-07	0.38955643644086035	0.009059369730619356	1.8784580018287595	2.9297513977077405e-10	2.852615106876416
Cyp2f2	1.094964957826141e-06	1.375759224217816	0.5044545575860653	4.785212267559451	5.86117383081171e-10	3.8453885086711876
Lypd2	2.1173912951913677e-06	0.40041653931094645	0.0	1.9672638670494325	1.3223069913765344e-09	2.9672638670494322
Krt15	3.1885694840463557e-06	0.6034106359072255	0.12447593903554534	2.4775029280138	2.466320136035867e-09	3.0925543244584035
Cldn10	3.1885694840463557e-06	2.1367988418351316	1.3407024946832369	5.251958461125156	2.56018604303838e-09	2.670975262907652
Myc	3.8378750092666625e-06	0.427643685510652	0.02159546040077761	2.0165280446362477	3.423922748921993e-09	2.9527617942358977
Fam13a	1.3739578498965203e-05	0.925797157254176	0.45379287892246517	2.7727704202913053	1.515284895808247e-08	2.59512236921097
Mrpl28	1.3739578498965203e-05	1.1327294027612849	0.575927605940023	3.3115190424966583	1.6251832362100075e-08	2.735861105704082
Lrrc26	1.3739578498965203e-05	0.2980141688466712	0.0	1.4641565686814715	1.667313538922429e-08	2.4641565686814717
Scgb1a1	1.3739578498965203e-05	2.3039736393577828	1.3485512369022787	6.042583040270624	1.7160683288920763e-08	2.9986925256779737
Isca1	1.3759822405369023e-05	1.6587530012472733	1.0479912372307274	4.048690338703323	1.8500333307139706e-08	2.465191377249304
Rrp1	1.3759822405369023e-05	0.8159401589898506	0.37418002872904876	2.544566755662554	1.964110611882455e-08	2.579404940807393
Dcxr	1.5746610565895587e-05	1.930567848458588	1.257832335313558	4.563011160765226	2.3881914499083324e-08	2.4638725709421023
Kdr	1.6372685770693973e-05	0.3248227646697089	0.013101185929353977	1.5446028553928368	2.6292117394280628e-08	2.5116966505755114
Qpct	2.2763029933787334e-05	0.8797956489858277	0.3756732496024187	2.8524485161382973	3.958504449947455e-08	2.800409557466999
Pir	2.2763029933787334e-05	0.32699719061385474	0.027572440420983856	1.498659256585958	4.061563017894073e-08	2.431613731838008
Homer2	2.9246648574144583e-05	0.550383882601459	0.19800878843953057	1.929242946713353	5.479343563716979e-08	2.445093036862314
5330417C22Rik	3.2356798381039794e-05	0.9411716497052528	0.404154379337518	3.0425435772311715	6.458213708219738e-08	2.878987977902009
Pdcd4	3.2356798381039794e-05	2.6497200351929266	2.0272800732597873	5.0853546688443405	6.639364463947857e-08	2.0101723400476805
Cisd1	3.258680778750395e-05	1.13347463310994	0.6029252888044806	3.2095372847399974	6.977280639665401e-08	2.6261593813144106
Olfml2a	4.001286354496158e-05	0.26712055415790553	0.0	1.312374896514927	8.924271466000888e-08	2.312374896514927
Copz1	5.1201468781882676e-05	2.097957550607835	1.4223533793571843	4.741626046806032	1.1876511627522077e-07	2.3702677304372815
Aldh1a7	7.54482259400559e-05	1.6652579733475779	1.0339992199054413	4.135400921599415	1.8173807657966895e-07	2.524780182481169
Rpl7l1	7.669042034318294e-05	0.9687593342905152	0.48546525002421564	2.8599100988108175	1.915721089846661e-07	2.5984519656369574
Eif3l	7.76907211897939e-05	1.3624063125840549	0.8124400029496184	3.5144483937622857	2.069360956508874e-07	2.4908125987151792
Cd24a	7.76907211897939e-05	1.771176104354615	1.1008758562705407	4.394090118596645	2.079330569804458e-07	2.567543485492852
Mif	7.787823402980522e-05	2.3160770829503843	1.7128692277762572	4.676455646675225	2.1538275090766008e-07	2.0924177208970094
Cldn7	8.741912356159588e-05	1.791227710334279	1.262141265308154	3.861565973479986	2.4956837844331054e-07	2.149099195543711
Cox8a	9.123461483611515e-05	2.890892469371237	2.322937737689699	5.113324028125081	2.6860043622016234e-07	1.8397347500032974
Trak1	9.679172542131845e-05	0.7695233183578447	0.3687432373406123	2.3377932005991897	2.95898751216813e-07	2.4385824233070372
Acsl1	9.679172542131845e-05	0.35320135469277	0.06341080423842006	1.4871643782097912	3.0405981063898666e-07	2.3388556598228445
Sfn	9.679172542131845e-05	0.7050068839339199	0.3199336435149303	2.211815216008227	3.113299926999015e-07	2.4333156683962476
Dpm3	9.679172542131845e-05	0.6457551393283906	0.335269267213671	1.8606998562990325	3.1950163623773597e-07	2.1424142130287347
Tuba1c	0.00010659550250068595	3.0445435973235577	2.3189080360069942	5.883987098127505	3.613729230998364e-07	2.074172295056927
Rpl13	0.0001106945606099301	6.079647586380256	5.488237674302495	8.393860285814966	3.8514478220958814e-07	1.4478292500012084
Rassf9	0.00012125779436045264	0.5056890501624074	0.14328532603943384	1.9237905793392605	4.3271583320707515e-07	2.5573586162151214
Col23a1	0.00012667006024149002	0.7299220838001464	0.2700454329176181	2.5294394133404743	4.7039230092784253e-07	2.7789867369015706
Kdm6b	0.00012667006024149002	1.6689209735676873	1.2827078940311718	3.1801895456670963	4.882780745569048e-07	1.8312415515789215
Eif4e	0.00012667006024149002	2.0260532018846114	1.3466704103624716	4.684507603492984	4.883808174300928e-07	2.422371534746093
Emp1	0.00012667006024149002	1.746094651208114	1.1343316578376639	4.139949842657702	5.003458646265281e-07	2.408224524891831
Gm26619	0.00012667006024149002	2.2386132132494154	1.855714341127477	3.7369131476396094	5.085335632854894e-07	1.6587489439750502
Mboat1	0.00015031278416300232	0.3983781250032313	0.059801490788048854	1.7232432154104667	6.16860386430378e-07	2.5695785853117767
Gabpa	0.00015632663030572022	0.3347005004850943	0.10969532529811868	1.2151555338254338	6.554868074198279e-07	1.996183531935069
Rpl15-ps3	0.0001648915701529618	3.219508702793908	2.6856354883868008	5.3085778026478065	7.061107473764089e-07	1.71166623029481
Ier2	0.00021905989780429292	1.3082892525700975	0.8739486729399178	3.0078828250360177	9.669726807731639e-07	2.1387367129689348
Cp	0.00021905989780429292	0.36263136864964185	0.08316207716445768	1.4562068570699278	9.77160753877656e-07	2.267626340371774
Dynlt1f	0.00023021460211235267	2.851431119460846	2.271464993675838	5.120863785576093	1.0474569281586213e-06	1.8709855668358086
Smim22	0.00025843524561520553	0.46965134483505283	0.2446477811737505	1.350100072205366	1.1989145126229535e-06	1.8881647545212605
Ftl1	0.00026119140829134645	7.25874618809112	6.788572560147258	9.098556036567107	1.2350026442538461e-06	1.2965862433175013
Rplp0	0.0002841108073593818	6.829725006410066	6.329927055457449	8.785456118833352	1.3720894089717667e-06	1.3350004774669149
