	adjusted_p_values	mean_all	mean_kmeans_1	mean_kmeans_2	pvalues	ratio kmeans_1 to kmeans_2
Rnase4	5.360939151401405e-05	4.545897577904601	8.967147669770007	4.624180199492733	4.967972524697808e-09	1.7721956474063514
Scp2	0.00042572506623974503	4.513875183658205	6.785562179250605	2.55457932416036	7.890372833652952e-08	2.1902907402663354
Npc2	0.0011842949611092278	7.668055322461911	9.477874095793567	7.279882475221888	3.2924519352494517e-07	1.2654616931036542
Slc34a2	0.0020790412934819885	5.129037614465891	9.983387366015762	6.986044294106691	7.706575084726118e-07	1.375322620501988
Ppia	0.0033888823537330014	6.966641067412466	7.431942411322502	4.60629312151599	1.5702355452381623e-06	1.5040138338400744
Cd36	0.007057013759005033	4.171810092703202	8.77960435142117	5.401296958676858	3.92383306033085e-06	1.5277535809622251
Sftpa1	0.010669215079231726	6.006084428921483	11.971229858756596	8.30431005687615	6.920999495377822e-06	1.394109802818801
Ubb	0.012336921090138208	8.563700917318448	8.613986854514458	5.632919557798572	9.736602502140464e-06	1.4494351651243733
Eif4a2	0.012336921090138208	5.238169605085285	6.736382503633578	2.6080811071591308	1.1127173782460975e-05	2.1441819831275684
BC005537	0.012336921090138208	4.112397989514027	5.244596014555017	2.0001946675235684	1.2344748733490668e-05	2.081396944722075
Scd1	0.012336921090138208	4.227234343623395	9.029880526533315	5.241320338909854	1.3484129425829602e-05	1.6070126162255587
Cxcl15	0.012336921090138208	5.228100926066617	9.85504913516564	6.952837343329524	1.371912270240557e-05	1.364927844811306
Cd63	0.013835084593113804	5.04980777484423	6.2107457761545515	2.7129503882149133	1.6667231925723236e-05	1.9420528211316295
Id2	0.05788365603775061	6.292398446820415	7.118444129000244	4.221948175447307	7.509694972926591e-05	1.5546772691409996
Fth1	0.062045631605686796	7.693956238203446	7.871519186116013	6.063744728948949	8.624636030815513e-05	1.2559229596390091
Ubc	0.06640594797962207	6.333608069297415	7.063607257603331	4.066977945520917	9.846123321971579e-05	1.5914036619660756
Lamp3	0.08477969118326006	4.085362003612396	8.646014797456582	5.9021758591051094	0.00013356081457839135	1.3975324585118902
Gabarap	0.08749089423965878	4.429520693655934	5.560208661280135	2.6205214189370434	0.00014593977354405134	1.8119513468328439
Sept2	0.09285565898095448	6.732709125498806	6.2885138085386	2.527044755114059	0.00016349342235549394	2.0664647926484565
H2-D1	0.1354336017884844	3.643953883511317	5.553058916262618	2.267410442373467	0.0002510121430608552	2.0055817999719787
Hsp90aa1	0.13575917432000828	6.437308236922085	7.291708920482249	4.308601439632956	0.00026419633590215675	1.5619384907252616
Iqgap1	0.14454831934051285	7.786148146063692	7.021363251430156	4.4252235789701055	0.00034869901297277114	1.4785313701215033
Chil1	0.14454831934051285	3.7366147797774065	8.074356378000076	4.690703768907544	0.0003535401014766144	1.5945929970173265
Prpf18	0.14454831934051285	0.7199599128604272	0.1242383372580096	1.655290546735085	0.00035948688437495186	0.42339560114819086
Sftpc	0.14454831934051285	9.543054871756373	14.446678884024063	11.472544504763668	0.0003627150953326649	1.238454501254694
Glrx	0.14454831934051285	1.3493765211811353	3.4410797755669487	0.340097042204703	0.00036993909073139756	3.313998640173525
Idi1	0.14454831934051285	2.5185821965852857	4.710399118003653	0.8771537117576049	0.00037319512180878327	3.0420519546355784
Ldha	0.14454831934051285	3.671033010284546	4.469623465139578	1.0941501941351082	0.00037506745820909646	2.6118582518378313
Taok3	0.16073626513897293	2.229238778890812	3.4324143447679716	0.3883581300725952	0.0004319666100482082	3.192558352747362
Sftpd	0.16469980603135048	4.4680208588628165	8.171645468084257	5.360428359101825	0.0004832479581017693	1.4419855000739938
Hspa5	0.16469980603135048	5.853077401944168	6.9797473891549116	4.244460371397258	0.00048412594155410515	1.5215573813228955
Pon3	0.16469980603135048	4.419836693255778	7.023465140248031	3.9562129099987047	0.000495095900262356	1.6188701506469643
Eif4g2	0.16469980603135048	4.556747515935262	4.7941668300039595	1.488717695000673	0.0005042310255606226	2.3281735978505154
Hsp90ab1	0.16469980603135048	7.364256027344418	6.929634549875913	4.817818912359363	0.0005189318325517484	1.3629909540550003
LOC102641347	0.1922557205332685	3.1964759025278977	3.1241454287252988	0.5833277193181566	0.0006235705883295708	2.6047326642530573
Ndufa4	0.19489318774951706	3.6511670946500776	4.242375419381357	1.8699171616310362	0.000650185780648931	1.8266643683896442
Acsl4	0.22137437736177334	3.845270650502986	6.314628047539657	3.601082022817871	0.0007696695452364258	1.5897625843800782
Gclc	0.22137437736177334	2.153667014822011	4.33765238910474	1.251115341984612	0.0007795594791722164	2.3711145713213426
Nupr1	0.22138847863288055	2.4049979397343035	4.456818691948704	1.415019689039167	0.0008001251660348756	2.259533831842066
Slc25a5	0.22234989087488022	6.435864370868389	6.688414122463085	3.7316082482688406	0.000824204951811251	1.6249050468783113
Prdx1	0.2244196951817037	6.95161187112794	8.004812476916161	6.174430544077352	0.0008526742194838154	1.2551257443491217
B2m	0.22744434908812586	2.789047740499168	4.119661294030478	1.2150641219119283	0.0008852435049301534	2.3112925912101594
Vamp8	0.22861014287757825	6.075824967472467	6.477355622734423	4.193851083762018	0.00091503923864347	1.4396553736612745
Soat1	0.22861014287757825	3.69885274127594	6.354706535879172	3.336787222905554	0.0009321514490421132	1.6958882596392812
Elf1	0.2407706089330172	2.012424845697804	2.943754448769853	0.0	0.0010040475768682952	3.943754448769853
Dram1	0.2558318558892162	3.739577700525016	6.844891432916403	4.011432906621637	0.0010905630035125517	1.5653988747511514
Srsf5	0.2564263317487142	4.565096478055088	4.668201219261549	1.872753546044619	0.0011193823249129246	1.973089973926191
Atp5f1	0.2564263317487142	4.93522720187554	5.5260016744090805	2.5734877426384495	0.001140623104803844	1.8262275245949693
Sdc4	0.25974770133244424	7.2413641488269995	7.336547353282503	5.221341110710749	0.0011794678310897756	1.33999200573172
Egfl6	0.26557425049557176	3.422578932067197	6.704804038087091	4.371980208594326	0.0012305358655155768	1.4342577111063464
Tgoln2	0.27069077581480416	4.48626610990694	6.437945554430213	3.296562810058754	0.0012806059873004835	1.7311385596451927
Map1lc3b	0.27069077581480416	4.472306732548038	4.793055024445574	1.775339755193629	0.001356408785987117	2.0873318351761245
Ssr1	0.27069077581480416	4.3277917500186955	5.4067584862715075	1.7860839306101322	0.0013593521606535932	2.2995568855201265
Gm12191	0.27069077581480416	0.5485805509998786	0.03216791670246285	0.5622213550303877	0.0013888342970346278	0.660705292101442
Eef1a1	0.27069077581480416	9.509332157818582	9.372594452300001	8.052497232324264	0.0013942369180010013	1.1458268570645889
Rps19-ps7	0.27069077581480416	0.5393298415329211	0.014170841943189565	0.327893832438951	0.0014047524275441602	0.7637439207624419
Egr1	0.2870900160807652	6.36894528752052	7.423228248015795	3.837299348123153	0.0015164610246134384	1.7413080402567942
Ang	0.3218160980355602	1.3711613823605193	3.163575754949851	0.6096402980755395	0.0017297130651526727	2.586649799913531
Cldn18	0.33601922751791274	7.221332634624819	6.086968121525494	3.443125448208823	0.0018371915877635856	1.595041194342711
Ptma	0.33687423531364863	5.83061929907425	6.839265089988379	5.249647878434307	0.0018730844332146158	1.2543530839616377
Anxa2	0.34111494591239566	7.006054913790303	6.210997303001636	3.175944269643786	0.0019282746455987522	1.7267944295666438
