	adjusted_p_values	mean_all	mean_kmeans_1	mean_kmeans_3	pvalues	ratio kmeans_1 to kmeans_3
Sftpa1	2.866020343444762e-45	6.006084428921483	0.729234820389666	11.971229858756596	2.5253505537446133e-49	0.13331309669316338
Cd36	4.008679604407276e-45	4.171810092703202	0.3767367732089217	8.77960435142117	9.773506116012226e-49	0.14077632629471912
Lamp3	4.008679604407276e-45	4.085362003612396	0.22792874368760865	8.646014797456584	1.0596562528171493e-48	0.1272990731894153
Slc34a2	6.512281127072704e-45	5.129037614465891	1.1066763911255388	9.983387366015762	2.2952792764376437e-48	0.1918057081045789
Cav1	1.43641443572375e-39	4.384348786816015	8.323551537633174	0.08286448028859818	6.328374463493479e-43	8.61008160056032
Pdpn	1.6531298609216745e-38	3.8247791480442523	7.665223484907192	0.29868939951784246	8.739782505533569e-42	6.672283217314535
Akap5	7.834723933894064e-37	5.345578865533837	9.805099171282428	0.8132071367746047	4.832414092630051e-40	5.959109112322881
Cxcl15	1.9482741867776036e-36	5.228100926066617	1.0195962980570676	9.85504913516564	1.3733539073240663e-39	0.18605132716667802
Scd1	2.9588456292998194e-35	4.227234343623395	0.5553981777712549	9.029880526533315	2.3464279375890716e-38	0.15507644120551214
Sdpr	3.1683433640499174e-31	3.5423512564662616	7.141794926667356	0.06232271829687322	2.791737918803346e-34	7.664144601670917
Rtkn2	2.023320972822977e-30	3.2685389198195796	6.779936606187352	0.08609773154368813	1.9611005992644944e-33	7.163201229717701
S100a6	1.0131623192636503e-27	3.741250253395462	6.7555519506465895	0.31265543733919854	1.0712792167736191e-30	5.908292252510211
Chil1	2.371001738772121e-27	3.7366147797774065	0.1850923582127899	8.074356378000077	2.756502639223485e-30	0.1305979519479679
Clic5	2.371001738772121e-27	4.7390813053248255	8.280160130471764	1.2963214742545845	2.9248413378103528e-30	4.04131574542899
Sftpd	3.043116546670786e-27	4.4680208588628165	0.7636946943235207	8.171645468084257	4.02209429906263e-30	0.19229861211500962
Sftpb	3.575903759011682e-27	3.1554169318220673	0.408327801800296	5.610666451983404	5.04136577180253e-30	0.21303870222914578
Hc	1.531761941495151e-26	3.2144572531457465	0.21846431548444703	7.06041026848122	2.294471143309328e-29	0.15116653804199418
