	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_3	pvalues	ratio kmeans_3 to kmeans_0
Acsl4	2.5052021039677133e-10	3.845270650502986	5.441629713393403	0.988858384244497	2.2014078242247042e-14	0.3087508088379053
Fasn	1.1398123562386017e-07	2.681180082479579	4.230874067629552	0.7495859125640055	2.0031851603490363e-11	0.3344729561338601
Sftpb	1.9249072144679126e-07	3.1554169318220673	3.5214800301962224	0.4083278018002959	5.0744478413038115e-11	0.31147495784453955
Trf	4.040809706337432e-07	2.7794040209993676	5.944912123508292	0.31108779415214644	1.7067989820124845e-10	0.18878392855600845
Cbr2	4.040809706337432e-07	4.164910955344306	6.323822354203094	0.11166283794812112	1.7753996952273427e-10	0.1517872477218327
Dcxr	4.975431523733931e-07	1.930567848458588	4.563011160765226	0.4351392381461061	2.623250364007345e-10	0.25797885293990563
Aldh1a7	1.4054338309826222e-06	1.6652579733475779	4.135400921599415	0.20171968831462356	8.645023564919468e-10	0.23400698536704495
Nupr1	8.343211438079833e-06	2.4049979397343035	4.0812937441621555	0.08359764044125945	6.530391547739425e-09	0.21325231230455696
Herpud1	8.343211438079833e-06	3.230691073238246	5.6534118921888386	1.6273003712698308	6.598321875458568e-09	0.39488016281605887
Atp6v1c2	1.7390825213066535e-05	1.7755489330181873	2.775877026754896	0.0	1.5281920222378324e-08	0.26483913350838933
Hp	1.8318021760440885e-05	2.0892666776071382	4.96671480155431	0.048450047784013836	1.7706347923097516e-08	0.17571646754607675
Cebpa	3.305887637762077e-05	1.105577288282094	2.2048353310501927	0.006937713570740154	3.4859975090637016e-08	0.3141932765827244
Sftpd	3.353181351636189e-05	4.4680208588628165	5.092087819071201	0.7636946943235207	4.0466298598627925e-08	0.2895057895919191
Ldhb	3.353181351636189e-05	2.1767331343870895	4.214828508871344	0.32205107746514094	4.1251791672149946e-08	0.25351765167657936
Bmp3	5.0432874155523176e-05	0.6689961765820309	2.630383066728038	0.0	6.647566892204286e-08	0.27545302565034047
Sftpa1	5.7805014540524925e-05	6.006084428921483	5.265678357212642	0.729234820389666	8.85425880593504e-08	0.27598525200373286
Cxcl15	5.7805014540524925e-05	5.228100926066617	4.897337171002165	1.0195962980570679	9.022809839170747e-08	0.3424590182816133
Pdpn	5.7805014540524925e-05	3.8247791480442523	4.313047526241429	7.665223484907192	9.537396382557291e-08	1.6309328012048045
Cyp2f2	5.7805014540524925e-05	1.375759224217816	4.785212267559451	0.07754082616341675	9.65110084595759e-08	0.18625778559686074
Cd200	5.927752688307042e-05	2.2786238380927215	3.3735653667684646	0.16707666691495898	1.0417843037446471e-07	0.2668478847447266
Col4a4	7.69446584498569e-05	3.0125562385936426	2.337536084969513	5.8815397745379725	1.570589018275434e-07	2.061862283835302
Clic5	7.69446584498569e-05	4.7390813053248255	5.599472369728132	8.280160130471765	1.5763472265117986e-07	1.4061972852617708
Ly6e	7.69446584498569e-05	3.130831619763043	4.0483527053218475	0.19718767939785228	1.6148415369986147e-07	0.2371442229335139
Scgb3a2	7.69446584498569e-05	1.3727912256875607	5.515002199083356	0.2064099101116311	1.6227344488546268e-07	0.18517413705268893
Gm43305	8.251166244748376e-05	0.7067734455379732	1.6174361946805647	0.17034032107799651	1.812646363081805e-07	0.4471323211073829
Sdpr	8.769778386356185e-05	3.5423512564662616	3.8518440220606096	7.141794926667356	2.0036400531218e-07	1.6780825784274662
Cd24a	0.00013504535582139273	1.771176104354615	4.394090118596645	0.7538961301163178	3.2040638024407767e-07	0.32515143268919294
Pi4k2b	0.0001580203576431094	2.714820839923856	3.444957888970836	0.5688576454238103	3.888022859408667e-07	0.35295219541147466
Scgb1a1	0.0002139307018052734	2.3039736393577828	6.042583040270624	0.7157412088149633	5.451661118060571e-07	0.2436238520730361
Emb	0.00021520926239062784	1.5544305854000315	2.5868448863420856	0.07050310643843576	5.673354896062246e-07	0.2984525788987072
Rtkn2	0.00025008778943058163	3.2685389198195796	3.4904448792855125	6.779936606187352	6.812584773592294e-07	1.7325536367401622
Atp2a2	0.00026198937224855285	1.9785045009405016	3.1543793925968835	0.5826393962783636	7.36701222491537e-07	0.38095687627823105
C3	0.0002740540800262455	1.0700281555175202	2.9140954914683816	0.02496188522048361	7.9470866791442e-07	0.26186430235404573
Kcnj13	0.0002892202688200368	2.0318487758821258	3.0924444632993784	0.21695678900596033	8.641027363691785e-07	0.2973667205308475
5330417C22Rik	0.0002986515154995219	0.9411716497052528	3.0425435772311715	0.04404999665877533	9.185239931883363e-07	0.2582656133972632
Copz1	0.00036622127554023816	2.097957550607835	4.741626046806032	1.169705323397383	1.1781745967139784e-06	0.37789039301930033
Chad	0.00036622127554023816	0.595188240793641	2.62200925247559	0.027381371242755817	1.1907018624770486e-06	0.28364957117118234
