	GeneID	adjusted_pvalue	fold_change	GroupID	Vs
0	Cav1	1.6039640139797268e-31	6.413526223316438	kmeans_0	Significance vs. kmeans_1
1	Akap5	1.1527985736262826e-30	5.190501012284417	kmeans_0	Significance vs. kmeans_1
2	Pdpn	1.146852768829132e-28	6.166816007093981	kmeans_0	Significance vs. kmeans_1
3	Ahnak	2.0335766733611805e-27	3.019881340103892	kmeans_0	Significance vs. kmeans_1
4	S100a6	3.7962024072825464e-27	4.93085586251055	kmeans_0	Significance vs. kmeans_1
5	Clic5	8.952880396481569e-27	3.7340921638535733	kmeans_0	Significance vs. kmeans_1
6	Hopx	1.3067017093126953e-26	4.243594343512954	kmeans_0	Significance vs. kmeans_1
7	Sdpr	2.23636182581935e-25	5.648578364291534	kmeans_0	Significance vs. kmeans_1
8	Rtkn2	4.954969168831587e-24	6.162040005274837	kmeans_0	Significance vs. kmeans_1
9	Actb	6.10945302367386e-23	1.3178246227069073	kmeans_0	Significance vs. kmeans_1
10	Clic3	1.1278780907932408e-22	2.5329907596365104	kmeans_0	Significance vs. kmeans_1
11	Agrn	2.145886390168458e-22	4.186819630863342	kmeans_0	Significance vs. kmeans_1
12	Dpysl2	2.6427633794908713e-22	2.5681712248215454	kmeans_0	Significance vs. kmeans_1
13	Tmem213	2.3258029049631965e-20	3.280326169911751	kmeans_0	Significance vs. kmeans_1
14	Gprc5a	2.803216175032688e-20	2.9910861511948292	kmeans_0	Significance vs. kmeans_1
15	Myh9	1.0830724165852904e-19	2.326002338233601	kmeans_0	Significance vs. kmeans_1
16	Krt7	6.267705125303365e-19	4.248540645895666	kmeans_0	Significance vs. kmeans_1
17	Fstl1	6.598108982019738e-19	2.987247268674522	kmeans_0	Significance vs. kmeans_1
18	Lgals3	3.514193327412572e-18	3.702533590669755	kmeans_0	Significance vs. kmeans_1
19	Msln	4.835498821907381e-18	5.074095187352182	kmeans_0	Significance vs. kmeans_1
20	Krt19	3.046284134756135e-17	3.920699076340975	kmeans_0	Significance vs. kmeans_1
