	GeneID	adjusted_pvalue	fold_change	GroupID	Vs
21	2200002D01Rik	3.5042972064087734e-17	3.7140025812041872	kmeans_0	Significance vs. kmeans_1
22	Qk	3.8669319555068885e-17	2.628547976411025	kmeans_0	Significance vs. kmeans_1
23	Lmo7	4.1373351162468347e-17	2.224523482906267	kmeans_0	Significance vs. kmeans_1
24	Ppp3ca	1.2930140513054247e-16	2.781159661293558	kmeans_0	Significance vs. kmeans_1
25	Tmsb10	1.8033924014474644e-16	2.682913770753485	kmeans_0	Significance vs. kmeans_1
26	Gm10076	3.060026515832615e-16	2.268363504133731	kmeans_0	Significance vs. kmeans_1
27	Limch1	1.2022521629669153e-15	2.8633045389836935	kmeans_0	Significance vs. kmeans_1
28	Itgb6	1.214509498037762e-15	5.567924248546517	kmeans_0	Significance vs. kmeans_1
29	Emp2	1.2632112292303288e-15	1.9664120523468644	kmeans_0	Significance vs. kmeans_1
30	Dag1	1.433268801144529e-15	2.5363867372361986	kmeans_0	Significance vs. kmeans_1
31	Ptrf	2.479864927450774e-15	2.5094591381745746	kmeans_0	Significance vs. kmeans_1
32	Col4a3	5.68357698108377e-15	4.003572835883091	kmeans_0	Significance vs. kmeans_1
33	Vegfa	1.3533827046926712e-14	2.5398116284377568	kmeans_0	Significance vs. kmeans_1
34	Rps19-ps6	1.9285792993649022e-14	2.430118428547389	kmeans_0	Significance vs. kmeans_1
35	Cnn2	2.1465795894648442e-14	2.7181840309278207	kmeans_0	Significance vs. kmeans_1
36	Sparc	2.264310661815493e-14	1.8828649858084052	kmeans_0	Significance vs. kmeans_1
37	Pmp22	3.926852962720391e-14	4.41107060966335	kmeans_0	Significance vs. kmeans_1
38	Atxn1	4.126032859008503e-14	3.0402983662911627	kmeans_0	Significance vs. kmeans_1
39	Rgcc	4.6222190899451405e-14	2.403493803745114	kmeans_0	Significance vs. kmeans_1
40	Ager	4.739630971779961e-14	1.8377933856779503	kmeans_0	Significance vs. kmeans_1
41	Timp3	5.0794165639005005e-14	1.947014332753491	kmeans_0	Significance vs. kmeans_1
42	Cryab	5.3879171226982196e-14	2.7825869240175014	kmeans_0	Significance vs. kmeans_1
43	Lamc2	7.249650923845103e-14	3.4159440463726716	kmeans_0	Significance vs. kmeans_1
44	Fbln5	1.0514498314628522e-13	4.594964213923969	kmeans_0	Significance vs. kmeans_1
45	Wdr45	2.863042280794707e-13	4.261379172888803	kmeans_0	Significance vs. kmeans_1
46	Gja1	2.8966912702713914e-13	1.9862912047054178	kmeans_0	Significance vs. kmeans_1
47	Khsrp	3.6774968498700273e-13	2.3853204634349927	kmeans_0	Significance vs. kmeans_1
48	Tspan8	5.972014776996821e-13	2.764507550489493	kmeans_0	Significance vs. kmeans_1
49	Rhoa	8.077866791435188e-13	1.9955261074270172	kmeans_0	Significance vs. kmeans_1
50	Rpl36	8.222196296878995e-13	2.102605303466152	kmeans_0	Significance vs. kmeans_1
51	Cd9	9.312293586498776e-13	1.5290677195455653	kmeans_0	Significance vs. kmeans_1
52	Arhgef26	1.2144262930315494e-12	3.781597385330016	kmeans_0	Significance vs. kmeans_1
53	Rpl37a	3.5648170863956582e-12	1.4611240221108677	kmeans_0	Significance vs. kmeans_1
54	Tjp1	5.387735266006636e-12	2.926236207650386	kmeans_0	Significance vs. kmeans_1
55	Sema3a	6.0018146971866894e-12	3.360825436560011	kmeans_0	Significance vs. kmeans_1
56	Msn	6.934766378721286e-12	2.149947129696804	kmeans_0	Significance vs. kmeans_1
57	Plp2	9.910311899881007e-12	2.1045469121097837	kmeans_0	Significance vs. kmeans_1
58	Npnt	1.0608026261751137e-11	2.893071671474439	kmeans_0	Significance vs. kmeans_1
59	Anxa1	1.0782469344502215e-11	2.458896607664292	kmeans_0	Significance vs. kmeans_1
60	Rps29	2.1188558821023104e-11	1.5386931839357003	kmeans_0	Significance vs. kmeans_1
61	Col4a4	2.2146204393567907e-11	3.151169133163241	kmeans_0	Significance vs. kmeans_1
62	Pxdn	3.350872609064488e-11	4.2720082561583625	kmeans_0	Significance vs. kmeans_1
63	Krt8	4.985161030519597e-11	2.526084362986458	kmeans_0	Significance vs. kmeans_1
64	Tinagl1	5.184342687250303e-11	3.1683043707098895	kmeans_0	Significance vs. kmeans_1
65	Rps15	7.23434816170845e-11	1.7160771748056671	kmeans_0	Significance vs. kmeans_1
66	Cux1	7.23434816170845e-11	2.160970370946892	kmeans_0	Significance vs. kmeans_1
67	Myo1c	7.273218404048691e-11	3.341882398342971	kmeans_0	Significance vs. kmeans_1
68	Rpl41	7.585255116297346e-11	1.3490696456642957	kmeans_0	Significance vs. kmeans_1
69	Rps7	1.142049876364418e-10	1.7298095863493108	kmeans_0	Significance vs. kmeans_1
70	Rpl27-ps3	1.1421514607547255e-10	2.1226995341850032	kmeans_0	Significance vs. kmeans_1
71	Gm12715	1.1421514607547255e-10	2.6505018061476435	kmeans_0	Significance vs. kmeans_1
72	Arglu1	1.300652095168489e-10	2.0247519840587107	kmeans_0	Significance vs. kmeans_1
73	Rpl38	1.3117074462134472e-10	1.6332015488758582	kmeans_0	Significance vs. kmeans_1
74	Rpl31-ps8	1.4024980125786765e-10	1.8105948042080013	kmeans_0	Significance vs. kmeans_1
75	Pde7a	1.5196990922713704e-10	2.9854017057510194	kmeans_0	Significance vs. kmeans_1
76	Tmem37	1.5196990922713704e-10	3.5165318677452846	kmeans_0	Significance vs. kmeans_1
77	S100a11	1.6116333731938717e-10	1.450492182764423	kmeans_0	Significance vs. kmeans_1
78	Gm11808	1.81438073679484e-10	2.0989619187195148	kmeans_0	Significance vs. kmeans_1
79	Rpl11	1.9144654537983866e-10	1.79187905572532	kmeans_0	Significance vs. kmeans_1
80	Rps10	3.2696011444640464e-10	1.9012603250352857	kmeans_0	Significance vs. kmeans_1
81	Rps26	3.287962991115418e-10	1.5816327051075718	kmeans_0	Significance vs. kmeans_1
82	Rpl19-ps11	3.7180630833065784e-10	2.080942197046562	kmeans_0	Significance vs. kmeans_1
83	Cav2	3.739454519636362e-10	3.2325109224423874	kmeans_0	Significance vs. kmeans_1
84	Cyr61	4.17252931421741e-10	2.7903955329456758	kmeans_0	Significance vs. kmeans_1
85	Ywhae	4.96757606425915e-10	1.5951508469589588	kmeans_0	Significance vs. kmeans_1
86	Cdkn1b	4.96757606425915e-10	2.4070883928288587	kmeans_0	Significance vs. kmeans_1
87	Rpl28	5.589652649114177e-10	1.7190701157552608	kmeans_0	Significance vs. kmeans_1
88	Rplp2	5.857779007250585e-10	1.6881645518429367	kmeans_0	Significance vs. kmeans_1
89	Rpl32	6.913220461743648e-10	1.3071084036840777	kmeans_0	Significance vs. kmeans_1
90	Igfbp6	7.340384887968422e-10	3.225800546450855	kmeans_0	Significance vs. kmeans_1
91	Rps18	7.960930979494454e-10	1.5097383829534474	kmeans_0	Significance vs. kmeans_1
92	Id3	1.088324570208215e-09	3.1133443808454864	kmeans_0	Significance vs. kmeans_1
93	Sec14l3	1.1302083051797546e-09	1.9891502184198198	kmeans_0	Significance vs. kmeans_1
94	Rps28	1.2495606393137453e-09	1.4510490136237766	kmeans_0	Significance vs. kmeans_1
95	Iqgap1	1.3242399175645017e-09	1.3453967809286442	kmeans_0	Significance vs. kmeans_1
96	Tgfb2	1.3242399175645017e-09	4.070365699405899	kmeans_0	Significance vs. kmeans_1
97	Fau	1.4067495492099337e-09	1.7207717697724927	kmeans_0	Significance vs. kmeans_1
98	Rpl13a	1.415915472910178e-09	1.4296527352437807	kmeans_0	Significance vs. kmeans_1
99	Psat1	1.4856738767014372e-09	4.0236626588824	kmeans_0	Significance vs. kmeans_1
100	Rps26-ps1	1.5850005700986635e-09	2.185172020338172	kmeans_0	Significance vs. kmeans_1
101	Sod1	1.7605344133603312e-09	1.4876206286454536	kmeans_0	Significance vs. kmeans_1
102	Ndnf	1.7713414796644806e-09	2.8257438030190545	kmeans_0	Significance vs. kmeans_1
103	Gm14303	2.0427948603692157e-09	2.0490315243417485	kmeans_0	Significance vs. kmeans_1
104	Fhl1	2.1317205737733713e-09	4.102147569802135	kmeans_0	Significance vs. kmeans_1
105	Ric1	2.192184375975265e-09	2.571387592718911	kmeans_0	Significance vs. kmeans_1
106	Crip2	2.51683652577653e-09	2.0176449928635862	kmeans_0	Significance vs. kmeans_1
107	Sepw1	2.51683652577653e-09	2.4078418408650797	kmeans_0	Significance vs. kmeans_1
108	Notch2	2.9276527392583636e-09	2.1739354242562063	kmeans_0	Significance vs. kmeans_1
109	Lama3	3.882243918183783e-09	2.960515132581193	kmeans_0	Significance vs. kmeans_1
111	Gm4604	4.091974784533954e-09	1.9527964815142649	kmeans_0	Significance vs. kmeans_1
110	Wwtr1	4.091974784533954e-09	2.5724470480288533	kmeans_0	Significance vs. kmeans_1
112	Rpl28-ps1	4.381511940884944e-09	1.9836316967230117	kmeans_0	Significance vs. kmeans_1
113	Gm11361	4.8297815431466026e-09	2.3119772604489053	kmeans_0	Significance vs. kmeans_1
114	Hs2st1	5.5215581600857325e-09	3.0752281777353043	kmeans_0	Significance vs. kmeans_1
115	Tceb2	6.4911149651604565e-09	2.0400577502470196	kmeans_0	Significance vs. kmeans_1
116	Rps16-ps2	6.592655145420603e-09	2.28056455152619	kmeans_0	Significance vs. kmeans_1
117	Dynlt1b	6.634312749856751e-09	2.333008917143372	kmeans_0	Significance vs. kmeans_1
119	Adam10	6.856256955943488e-09	2.350786950903362	kmeans_0	Significance vs. kmeans_1
118	Rpl31	6.856256955943488e-09	1.5375235763996	kmeans_0	Significance vs. kmeans_1
120	Rpl39-ps	7.217494731283677e-09	2.04795274523548	kmeans_0	Significance vs. kmeans_1
121	Bsg	8.263177380530775e-09	1.66828621506824	kmeans_0	Significance vs. kmeans_1
122	Rpl27	8.715877424638988e-09	1.930165885999848	kmeans_0	Significance vs. kmeans_1
123	Atp5e	9.298638046949957e-09	1.8338098876516198	kmeans_0	Significance vs. kmeans_1
124	Col4a1	9.955918363789054e-09	2.197473051625085	kmeans_0	Significance vs. kmeans_1
125	Gm4149	1.020165371438805e-08	2.003661317518456	kmeans_0	Significance vs. kmeans_1
126	Cldn18	1.1568462054663648e-08	1.5389670052434046	kmeans_0	Significance vs. kmeans_1
127	Rplp0	1.5256081918458938e-08	1.395542537317449	kmeans_0	Significance vs. kmeans_1
128	Rpl18	1.5720396315544295e-08	1.7751378250626442	kmeans_0	Significance vs. kmeans_1
129	Gsn	1.8124429221729606e-08	3.43583343843215	kmeans_0	Significance vs. kmeans_1
130	Rps27rt	1.893075339424714e-08	1.664776503620397	kmeans_0	Significance vs. kmeans_1
131	Rplp1	1.9291028474619364e-08	1.7650845035119875	kmeans_0	Significance vs. kmeans_1
132	Gm12174	1.938781777462169e-08	1.9678630489410351	kmeans_0	Significance vs. kmeans_1
133	Sema3e	2.0019271924039875e-08	3.2841368215680555	kmeans_0	Significance vs. kmeans_1
134	Usp46	2.2595409485048712e-08	2.62568334777082	kmeans_0	Significance vs. kmeans_1
135	Rpl15	2.4310639629454167e-08	1.678293838027786	kmeans_0	Significance vs. kmeans_1
136	Gm9385	2.626929895815404e-08	2.0587733809957	kmeans_0	Significance vs. kmeans_1
137	Lamc1	2.643454949228527e-08	2.9016284596130966	kmeans_0	Significance vs. kmeans_1
138	Gm2000	2.9321453500541564e-08	1.542500890004519	kmeans_0	Significance vs. kmeans_1
139	Acot2	3.3910949257202625e-08	2.019867216748051	kmeans_0	Significance vs. kmeans_1
140	Rps19-ps2	3.596643467656249e-08	1.8132943845755451	kmeans_0	Significance vs. kmeans_1
141	Rps19-ps1	3.596643467656249e-08	1.8132943845755451	kmeans_0	Significance vs. kmeans_1
142	Lims1	3.8339356684010105e-08	2.883814737639393	kmeans_0	Significance vs. kmeans_1
143	Marcks	4.6255790911750275e-08	3.3325148588621056	kmeans_0	Significance vs. kmeans_1
144	Rpl13	5.233368572747679e-08	1.5059791634847155	kmeans_0	Significance vs. kmeans_1
145	Gm14586	5.233368572747679e-08	1.9214516004133944	kmeans_0	Significance vs. kmeans_1
146	Kdm6b	5.549349729147357e-08	2.1211745672847075	kmeans_0	Significance vs. kmeans_1
147	Gapdh-ps15	5.769405571155346e-08	1.633632967398228	kmeans_0	Significance vs. kmeans_1
148	Gm13456	7.287256442436127e-08	2.0390375557697964	kmeans_0	Significance vs. kmeans_1
149	Fam174b	7.600410926271646e-08	3.1265201100090647	kmeans_0	Significance vs. kmeans_1
150	Myl6	8.154063550579101e-08	1.3574103103161963	kmeans_0	Significance vs. kmeans_1
151	Rpl24	8.439075275718188e-08	1.4119943801771866	kmeans_0	Significance vs. kmeans_1
152	Rpp21	8.585417540003349e-08	2.5233327864532176	kmeans_0	Significance vs. kmeans_1
153	Tmod3	9.232853740940246e-08	2.1044375123818364	kmeans_0	Significance vs. kmeans_1
154	Tes	9.546543233096427e-08	2.8159947726603534	kmeans_0	Significance vs. kmeans_1
155	Magi1	9.63809473180863e-08	2.629870615217171	kmeans_0	Significance vs. kmeans_1
156	Foxo3	9.959674037451849e-08	1.9067122019750657	kmeans_0	Significance vs. kmeans_1
157	Rpl19	1.0246284293253881e-07	1.4279106774454935	kmeans_0	Significance vs. kmeans_1
158	Gm9843	1.052110773205805e-07	2.1122018053988074	kmeans_0	Significance vs. kmeans_1
159	Gng5	1.0695180338260243e-07	1.472756617353042	kmeans_0	Significance vs. kmeans_1
160	Hdgf	1.1085371341234046e-07	2.1571035147883384	kmeans_0	Significance vs. kmeans_1
161	Rpl15-ps3	1.1188696735529418e-07	1.9010706343840522	kmeans_0	Significance vs. kmeans_1
162	Gm8399	1.2907595374429598e-07	2.060536544829768	kmeans_0	Significance vs. kmeans_1
163	Actr2	1.3235634156386734e-07	1.5767594575326715	kmeans_0	Significance vs. kmeans_1
164	Pdcd6ip	1.4893096610886793e-07	2.7042985627535128	kmeans_0	Significance vs. kmeans_1
165	Tmf1	1.6662200625643236e-07	2.2494199917947886	kmeans_0	Significance vs. kmeans_1
166	Rpl35	2.0594757210423658e-07	1.453545222499484	kmeans_0	Significance vs. kmeans_1
167	Col4a2	2.1297268844617174e-07	2.2396688324784115	kmeans_0	Significance vs. kmeans_1
168	Wnk1	2.132310478628897e-07	1.7013280812794647	kmeans_0	Significance vs. kmeans_1
169	Pdcd4	2.148168408603528e-07	2.2552156801286376	kmeans_0	Significance vs. kmeans_1
170	Rpl18a	2.4481158823652693e-07	1.309832339605482	kmeans_0	Significance vs. kmeans_1
171	Wdr89	2.6600544735508064e-07	1.8350522042146469	kmeans_0	Significance vs. kmeans_1
172	Gm12918	3.0081401244621426e-07	1.8520785264343542	kmeans_0	Significance vs. kmeans_1
173	Gm26619	3.370058321502249e-07	1.7694758357099019	kmeans_0	Significance vs. kmeans_1
174	Gm5526	3.5129669100559554e-07	1.9793243285767226	kmeans_0	Significance vs. kmeans_1
175	Rab11fip1	3.690723023425602e-07	2.6640487252967024	kmeans_0	Significance vs. kmeans_1
176	Gm12854	3.809606298317043e-07	1.8844171953595894	kmeans_0	Significance vs. kmeans_1
177	Flrt3	3.855950302901373e-07	2.8719124330345553	kmeans_0	Significance vs. kmeans_1
178	Rpsa	3.9514405203348365e-07	1.523387098256564	kmeans_0	Significance vs. kmeans_1
179	Gm37486	4.3862177413306705e-07	1.465461636187228	kmeans_0	Significance vs. kmeans_1
180	Gm15427	4.406560342292271e-07	1.658616608610242	kmeans_0	Significance vs. kmeans_1
181	Rps9	4.4364548018980075e-07	1.3789834074488794	kmeans_0	Significance vs. kmeans_1
182	Lama5	4.510178293408796e-07	2.5575203724065756	kmeans_0	Significance vs. kmeans_1
183	Rps19-ps7	4.562271924780686e-07	1.7116732384390958	kmeans_0	Significance vs. kmeans_1
184	Uba52	4.823764856387306e-07	1.5828451810060906	kmeans_0	Significance vs. kmeans_1
185	B4galt1	4.836815443019378e-07	2.0999277724415224	kmeans_0	Significance vs. kmeans_1
186	Nrp2	4.837708386857852e-07	2.7735122211477488	kmeans_0	Significance vs. kmeans_1
187	Rpl8	5.253489433054933e-07	1.5747641912679482	kmeans_0	Significance vs. kmeans_1
188	Pgrmc1	5.923940121873751e-07	2.4753896544214284	kmeans_0	Significance vs. kmeans_1
189	Rpl10a	6.256499171770713e-07	1.5005992276252025	kmeans_0	Significance vs. kmeans_1
190	Pdgfa	6.860679719580697e-07	2.200509730920611	kmeans_0	Significance vs. kmeans_1
191	Dynlt1f	6.954872177486521e-07	2.120986331138379	kmeans_0	Significance vs. kmeans_1
192	Rpl9-ps6	7.568751690158779e-07	1.7954500638131055	kmeans_0	Significance vs. kmeans_1
193	Rpl7-ps7	7.61506409452801e-07	1.796300630097703	kmeans_0	Significance vs. kmeans_1
194	Gm15710	7.71591778642122e-07	2.3603836760573698	kmeans_0	Significance vs. kmeans_1
195	Ano1	7.880953746288526e-07	3.155670451870462	kmeans_0	Significance vs. kmeans_1
196	F3	8.004817313379988e-07	3.0905450060202844	kmeans_0	Significance vs. kmeans_1
197	Akr1c14	8.038525877608288e-07	3.02763073280222	kmeans_0	Significance vs. kmeans_1
198	Rps5	8.157486699438744e-07	1.4368150765966854	kmeans_0	Significance vs. kmeans_1
199	Lrp4	8.229228860093466e-07	2.4529441791593505	kmeans_0	Significance vs. kmeans_1
200	Tead1	8.591266665935254e-07	2.162334250561233	kmeans_0	Significance vs. kmeans_1
201	Skil	8.637299565503607e-07	1.7630647840343272	kmeans_0	Significance vs. kmeans_1
202	Gm7336	8.850743257606888e-07	2.426751311351418	kmeans_0	Significance vs. kmeans_1
203	Pdlim2	9.085360496222217e-07	2.737746018247831	kmeans_0	Significance vs. kmeans_1
204	Gm10288	9.31571755712639e-07	1.7182394216917032	kmeans_0	Significance vs. kmeans_1
205	Rps3a3	9.552916465540239e-07	1.8881733133137102	kmeans_0	Significance vs. kmeans_1
206	Rps23	9.613572605603428e-07	1.3203729618644848	kmeans_0	Significance vs. kmeans_1
207	Svil	9.61556031364054e-07	2.362147204433707	kmeans_0	Significance vs. kmeans_1
208	Anxa3	9.61556031364054e-07	1.532424748741312	kmeans_0	Significance vs. kmeans_1
209	Actn4	9.628208836446416e-07	2.2625184983580318	kmeans_0	Significance vs. kmeans_1
210	Mpp5	9.628208836446416e-07	2.410176984832132	kmeans_0	Significance vs. kmeans_1
211	Rpl18-ps1	9.744270720764158e-07	1.5683267312451996	kmeans_0	Significance vs. kmeans_1
212	Ralbp1	9.790582121772231e-07	1.979987076779829	kmeans_0	Significance vs. kmeans_1
213	Slc39a1	1.0546840336969112e-06	1.9973977151933593	kmeans_0	Significance vs. kmeans_1
214	Gm11478	1.0985308836529e-06	1.7654301225404831	kmeans_0	Significance vs. kmeans_1
215	Gm8566	1.103548442801689e-06	1.9417778392359137	kmeans_0	Significance vs. kmeans_1
216	Rps21	1.1601796923786072e-06	1.6818237038213764	kmeans_0	Significance vs. kmeans_1
217	Fam134b	1.214167217090573e-06	2.7385036449699074	kmeans_0	Significance vs. kmeans_1
218	Gm15501	1.2474051264573106e-06	1.8211536646639235	kmeans_0	Significance vs. kmeans_1
219	Scnn1a	1.2563700242252604e-06	2.234286780654044	kmeans_0	Significance vs. kmeans_1
220	Zfyve21	1.3019455675844385e-06	3.2114451394660413	kmeans_0	Significance vs. kmeans_1
221	LOC102642137	1.4724186438784166e-06	1.4617606442548114	kmeans_0	Significance vs. kmeans_1
222	Gm6204	1.5013648423490236e-06	1.8193811790511552	kmeans_0	Significance vs. kmeans_1
223	Scnn1g	1.5117903253770233e-06	3.4831625418058967	kmeans_0	Significance vs. kmeans_1
224	Fras1	1.5585703898804487e-06	3.0097913225800608	kmeans_0	Significance vs. kmeans_1
225	Fxyd3	1.6727074550620985e-06	2.655669037788194	kmeans_0	Significance vs. kmeans_1
226	Ehd2	1.8531981658396023e-06	2.5625880253728757	kmeans_0	Significance vs. kmeans_1
227	Eif1	1.9383824780772834e-06	1.3800993932791303	kmeans_0	Significance vs. kmeans_1
228	Cox4i1	2.0935027806020645e-06	1.5053202917638415	kmeans_0	Significance vs. kmeans_1
229	Zdhhc20	2.251683651225795e-06	2.6139672732552115	kmeans_0	Significance vs. kmeans_1
230	Edn3	2.255727475302997e-06	3.114825968364761	kmeans_0	Significance vs. kmeans_1
231	Mrpl14	2.2634253802864402e-06	2.0859768177581746	kmeans_0	Significance vs. kmeans_1
232	F2r	2.3557933805040952e-06	2.7009808683379792	kmeans_0	Significance vs. kmeans_1
233	Arpc4	2.4232933123871458e-06	2.5326391427609765	kmeans_0	Significance vs. kmeans_1
234	Rps15a	2.6042486402232887e-06	1.3686566489701666	kmeans_0	Significance vs. kmeans_1
235	Gm13493	2.627223671087665e-06	1.9641312510175666	kmeans_0	Significance vs. kmeans_1
236	Gm1821	2.8698605988002296e-06	1.8133973893544681	kmeans_0	Significance vs. kmeans_1
237	Rps23-ps1	2.8698605988002296e-06	1.5346160180683166	kmeans_0	Significance vs. kmeans_1
238	Nedd4l	2.9008067547759482e-06	2.006484741340775	kmeans_0	Significance vs. kmeans_1
239	Rps17	3.1593578557190644e-06	1.300400647343159	kmeans_0	Significance vs. kmeans_1
240	Gm10036	3.166017139038587e-06	1.971872979071119	kmeans_0	Significance vs. kmeans_1
241	Xist	3.2297893163347285e-06	2.8189560966520935	kmeans_0	Significance vs. kmeans_1
242	Oaz1-ps	3.2297893163347285e-06	1.9554281407772947	kmeans_0	Significance vs. kmeans_1
243	Col4a5	3.2951868727514106e-06	2.820246468732422	kmeans_0	Significance vs. kmeans_1
244	Gm6169	3.6508905762407134e-06	2.0799035107360306	kmeans_0	Significance vs. kmeans_1
245	Gm6274	3.6508905762407134e-06	1.772417004845901	kmeans_0	Significance vs. kmeans_1
246	Creb3l2	3.888326268209188e-06	2.398067471068677	kmeans_0	Significance vs. kmeans_1
247	4930523C07Rik	4.22361009099354e-06	2.1179723447553918	kmeans_0	Significance vs. kmeans_1
248	Ctdspl	4.350602924740522e-06	2.4001329461702556	kmeans_0	Significance vs. kmeans_1
249	Rpl17-ps8	4.383927357430787e-06	1.789128402513389	kmeans_0	Significance vs. kmeans_1
250	Cdkn1c	4.429765806318134e-06	2.446702737371091	kmeans_0	Significance vs. kmeans_1
251	Jup	4.429765806318134e-06	2.27555743345174	kmeans_0	Significance vs. kmeans_1
252	Rpl17-ps10	4.463285773139255e-06	1.9493162347070254	kmeans_0	Significance vs. kmeans_1
253	Gm15421	4.463285773139255e-06	1.759490875076822	kmeans_0	Significance vs. kmeans_1
254	Rps24	4.463285773139255e-06	1.3202388060623127	kmeans_0	Significance vs. kmeans_1
255	Bcam	4.505790456677307e-06	2.423023858390257	kmeans_0	Significance vs. kmeans_1
256	Rps12-ps3	4.71366370533497e-06	1.8217426093926863	kmeans_0	Significance vs. kmeans_1
257	Gm11836	4.770190204187753e-06	1.4064962280203785	kmeans_0	Significance vs. kmeans_1
258	Rps13-ps2	4.8173999490083005e-06	1.8841334646702077	kmeans_0	Significance vs. kmeans_1
259	Gpx4	4.860947673545837e-06	1.619616490952419	kmeans_0	Significance vs. kmeans_1
260	Dctn4	4.860947673545837e-06	2.2275762197435784	kmeans_0	Significance vs. kmeans_1
261	Tns1	4.956524701164181e-06	2.1870071228097725	kmeans_0	Significance vs. kmeans_1
262	Ifngr2	5.246277676375935e-06	2.5819198505731262	kmeans_0	Significance vs. kmeans_1
263	Ywhaz	5.5955702166419356e-06	1.3489869425798282	kmeans_0	Significance vs. kmeans_1
264	Rpl39	5.604341597655142e-06	1.4144741232202844	kmeans_0	Significance vs. kmeans_1
265	Rpl5	5.655997726480761e-06	1.341796100711612	kmeans_0	Significance vs. kmeans_1
266	Capzb	5.710254135553146e-06	2.5115095885214735	kmeans_0	Significance vs. kmeans_1
267	Anxa2	5.940998687507767e-06	1.4264391864473631	kmeans_0	Significance vs. kmeans_1
268	Rpsa-ps10	6.27774109576556e-06	1.8874414098309897	kmeans_0	Significance vs. kmeans_1
269	Hnrnpl	6.3236952982845275e-06	1.7088484396811519	kmeans_0	Significance vs. kmeans_1
270	Braf	6.5998224689086695e-06	2.325558887971448	kmeans_0	Significance vs. kmeans_1
271	Cystm1	7.1669798839261925e-06	1.5899717740943984	kmeans_0	Significance vs. kmeans_1
273	Nedd4	7.585790811280375e-06	1.4925209272819184	kmeans_0	Significance vs. kmeans_1
272	Trim16	7.585790811280375e-06	2.7367728634786936	kmeans_0	Significance vs. kmeans_1
274	Gm8226	7.675788208292125e-06	1.876221992601161	kmeans_0	Significance vs. kmeans_1
275	Gm10443	7.721270205288943e-06	1.7466875890226157	kmeans_0	Significance vs. kmeans_1
276	Klf5	7.88666757515235e-06	2.380791489636836	kmeans_0	Significance vs. kmeans_1
277	Klhl9	8.33441871036295e-06	1.5855845827186565	kmeans_0	Significance vs. kmeans_1
278	Gm7536	8.433353994978477e-06	1.5423167937818334	kmeans_0	Significance vs. kmeans_1
279	Dynlt1c	9.008478590586394e-06	1.9451821438608157	kmeans_0	Significance vs. kmeans_1
280	Gpc3	9.056177222617337e-06	1.9499465520752362	kmeans_0	Significance vs. kmeans_1
281	Ctgf	9.155155935116327e-06	2.6461007177323745	kmeans_0	Significance vs. kmeans_1
282	Gm10275	1.0327839178237761e-05	1.9544858282075928	kmeans_0	Significance vs. kmeans_1
283	Rpl9-ps7	1.0682970215943307e-05	1.7664304198722514	kmeans_0	Significance vs. kmeans_1
284	Ralb	1.201359501351436e-05	2.4711407734379143	kmeans_0	Significance vs. kmeans_1
285	Slco3a1	1.3047304193112398e-05	2.9586903713098702	kmeans_0	Significance vs. kmeans_1
286	Gm5805	1.3047304193112398e-05	1.4704941443508157	kmeans_0	Significance vs. kmeans_1
287	Tpm3	1.3053183966448905e-05	1.6209622234603476	kmeans_0	Significance vs. kmeans_1
288	Celf2	1.3660369651384126e-05	2.296116205326183	kmeans_0	Significance vs. kmeans_1
