	adjusted_p_values	mean_all	mean_kmeans_2	pvalues	ratio kmeans_2 to kmeans_1
Hopx	1.5540443365271313e-13	3.366238787549456	0.3884457975509041	1.3604520148184638e-17	3.807515474776281
Krt7	2.3949777228772497e-13	3.2727656020045575	0.4383060780522206	4.193255226958329e-17	4.43232217562335
S100a6	2.431030230709098e-13	3.741250253395462	0.3063470490348339	6.384566831941955e-17	4.740629781078755
Agrn	4.1145492731389146e-11	3.096647583735187	0.40819670285698556	1.440794632982199e-14	3.640689950004651
Sdpr	1.2228368242685227e-10	3.5423512564662616	0.1629547780730797	5.352520459898987e-14	4.180136403803924
Actb	2.0169123491968438e-10	10.206408129833614	8.445864575950862	1.0593954386046628e-13	1.3178453995248123
Cav1	2.4958186826594963e-10	4.384348786816015	0.3380115412009609	1.5294345424683947e-13	4.794294280245428
Msln	5.447203642828099e-10	2.7962235636739377	0.06313787135558031	4.2351192127170107e-13	4.5623331244388154
Pdcd4	5.447203642828099e-10	2.6497200351929266	0.9828332491419501	4.2917651042154337e-13	3.0712630301351997
Anxa1	6.21708678644955e-10	4.655918539758029	1.8552757762742793	5.442604207694608e-13	3.0104615648487414
Krt19	1.3388950639162547e-09	3.2487631855223116	0.5102958754784104	1.2893150401014446e-12	3.837826728002863
Slc34a2	2.190029223492829e-09	5.129037614465891	9.34544601382071	2.3006522526406327e-12	0.4747051633489318
Ahnak	3.926404142353263e-09	4.674715494575006	1.6257015611277512	4.468463087682082e-12	2.579625396164844
Lyz2	4.294043646546968e-09	4.665559878342134	10.238247337549327	5.262769066940168e-12	0.2139592999630028
2200002D01Rik	7.333347302056989e-09	1.7909437011828566	0.09627842467957368	9.629712818949036e-12	3.2495982233602136
Tes	9.479808606689547e-09	2.1982335754510878	0.40367159234347716	1.327820517438788e-11	3.3105326747510526
Pdpn	1.0027091607317553e-08	3.8247791480442523	0.23171019056095157	1.492257352047609e-11	4.173407272532046
Tmem213	1.010542697950835e-08	3.691439649438807	1.0268300941027737	1.5923810350271408e-11	3.1513791094697323
Akap5	1.0114437055880672e-08	5.345578865533837	0.9020080089557836	1.6823453038758012e-11	3.808296928211067
Dynlt1f	1.2893179311089568e-08	2.851431119460846	1.181573779489006	2.2574068652875022e-11	2.794043708040294
Fstl1	2.4803078137242253e-08	5.98466823493491	2.1207842128160213	4.705757416360945e-11	3.0601466393557786
Cyr61	2.4803078137242253e-08	3.5031380416146507	1.109470824275274	4.7769212905482755e-11	3.3040166605054777
Rnase4	2.9335616686145295e-08	4.545897577904601	7.880370266537546	6.275324308235245e-11	0.3815836581635251
Gm10076	2.9335616686145295e-08	3.8823089749053215	1.7417540046913904	6.616767546374926e-11	2.483062287096508
Sftpa1	2.9335616686145295e-08	6.006084428921483	11.201893730976062	6.634749935327973e-11	0.4970904375766993
Gm12715	2.9335616686145295e-08	2.0753968849627857	0.531843327073933	6.875519375513604e-11	2.853250279294754
Dynlt1b	2.9335616686145295e-08	2.9774503004547412	1.0796999067634399	6.933919727969211e-11	2.835302261769191
Cldn7	3.387105418603365e-08	1.791227710334279	0.5744500419021739	8.302455722743082e-11	3.120569062030709
Lamp3	3.690390320385195e-08	4.085362003612396	8.069174540983578	9.372532061198688e-11	0.44482960434434654
Kdm6b	3.690390320385195e-08	1.6689209735676873	0.541306419332436	9.691999440738496e-11	2.6889570085086594
Rps19	4.452159804520798e-08	8.426041999760495	7.042220735230304	1.208237362690578e-10	1.2920237287340337
Rplp0	5.726367070474788e-08	6.829725006410066	5.28343821922184	1.6041648100778535e-10	1.5515180851405148
Clic3	8.466105437510321e-08	5.084369914399454	2.2386604333350695	2.472943424595868e-10	2.3266512235024495
Rtkn2	8.466105437510321e-08	3.2685389198195796	0.08478577986135749	2.5198948163823067e-10	4.017791299142831
Emp1	9.224153573583e-08	1.746094651208114	0.2180757957965578	2.82627484089473e-10	4.304399349514686
Tmsb10	1.2093826281171058e-07	2.3839584198218713	0.6847009536998347	3.9072452044305303e-10	2.5239021658209677
Sepw1	1.2093826281171058e-07	2.8408675321339123	0.9974140986019121	3.917285935422649e-10	2.71259010426749
Krt8	1.263080422510703e-07	3.67325035951735	1.3158085334801053	4.20179077785229e-10	2.839344300204282
Rpl13	1.6751362836538352e-07	6.079647586380256	4.3677132627578406	5.815145853984177e-10	1.7425379128635625
Rplp2	1.6751362836538352e-07	4.495656580579066	2.808329791682718	5.865836588125134e-10	1.9358868930346937
Rpl27	1.844647958563228e-07	3.1288220488195018	1.5794632161421465	6.62090224118816e-10	2.3132142678111998
Notch2	1.8469782510058347e-07	3.117692180964981	1.3561469754565267	6.790955663332317e-10	2.5795754723561366
Clic5	2.5805763239790485e-07	4.7390813053248255	1.2492191516358986	9.714154069079846e-10	2.834986862435088
Cxcl15	2.7237792245385877e-07	5.228100926066617	9.24166543965858	1.0491664701015306e-09	0.5597807198849033
Itgb6	3.0951780344996005e-07	3.085272488398372	0.13641537893715575	1.219320769959573e-09	4.502580189889935
Arglu1	4.2022893906362294e-07	3.8801418545304314	1.9656215303566094	1.6922464498753965e-09	2.21256701498812
Sec14l3	4.55655300659475e-07	4.936291097987459	2.581666556967091	1.8747963872008514e-09	2.237273733340042
Rpl18	4.601775232520024e-07	4.530844028492892	2.7513119671403876	1.9336882706903717e-09	2.0172808020861828
Rps18	5.30937527288731e-07	6.423146472673819	4.671637771557652	2.277504931904738e-09	1.652462400382429
Cd36	5.580871551245588e-07	4.171810092703202	8.022190262181793	2.4685366108190116e-09	0.4735945979584491
Rpl36	5.580871551245588e-07	4.617981866561329	2.3215829259528347	2.4916786230720916e-09	2.3112392397641175
Rpl27-ps3	6.23445584697911e-07	3.414981862413285	1.5720946849123074	2.8466074379184266e-09	2.375598724463478
Cdkn1c	6.23445584697911e-07	2.4108194058028567	0.745088525938407	2.8926390605785942e-09	3.1899816771928804
Gprc5a	6.757492731719223e-07	4.933044470950694	1.7750179373210637	3.1944726211401387e-09	2.634615187289525
Rpl28	7.15684784727653e-07	4.3809088554186335	2.7238389594350827	3.4459129090449895e-09	1.9237528269877358
Rpl15-ps3	9.021741829379852e-07	3.219508702793908	1.7346216921856148	4.4228096160839685e-09	2.257220468153614
Mif	9.337568836372484e-07	2.3160770829503843	1.0165523139992936	4.659383906795339e-09	2.7670560000108955
