	kmeans_1_cells2	kmeans_2_cells
0	SRR1033982_AT2	SRR1033925_C18.5_3
1	SRR1034022_AT2	SRR1033931_C18.5_3
2	SRR1034013_AT2	SRR1033930_C18.5_3
3	SRR1033870_C18.5_1	SRR1033903_C18.5_2
4	SRR1034020_AT2	SRR1033884_C18.5_2
5	SRR1033981_AT2	SRR1033854_C18.5_1
6	SRR1033921_C18.5_3	SRR1033913_C18.5_3
7	SRR1034017_AT2	SRR1033859_C18.5_1
8	SRR1033994_AT2	SRR1033886_C18.5_2
9	SRR1033995_AT2	SRR1033905_C18.5_2
10	SRR1033987_AT2	SRR1033866_C18.5_1
11	SRR1033997_AT2	SRR1033911_C18.5_3
12	SRR1034018_AT2	SRR1033887_C18.5_2
13	SRR1033983_AT2	SRR1033892_C18.5_2
14	SRR1033986_AT2	SRR1033865_C18.5_1
15	SRR1034006_AT2	SRR1033920_C18.5_3
16	SRR1034002_AT2	SRR1033868_C18.5_1
17	SRR1033984_AT2	SRR1033923_C18.5_3
18	SRR1033988_AT2	SRR1033912_C18.5_3
19	SRR1033998_AT2	SRR1033917_C18.5_3
20	SRR1033990_AT2	SRR1033924_C18.5_3
21	SRR1034014_AT2	SRR1033999_AT2
22	SRR1034008_AT2	SRR1033858_C18.5_1
23	SRR1033991_AT2	SRR1033857_C18.5_1
24	SRR1033904_C18.5_2	
25	SRR1033900_C18.5_2	
26	SRR1034007_AT2	
27	SRR1033856_C18.5_1	
28	SRR1034004_AT2	
29	SRR1034019_AT2	
30	SRR1033877_C18.5_2	
31	SRR1034001_AT2	
32	SRR1034010_AT2	
33	SRR1033915_C18.5_3	
34	SRR1033914_C18.5_3	
35	SRR1033853_C18.5_1	
36	SRR1033992_AT2	
37	SRR1034021_AT2	
38	SRR1033993_AT2	
39	SRR1033855_C18.5_1	
40	SRR1033863_C18.5_1	
41	SRR1033932_C18.5_3	
42	SRR1034026_AT2	
43	SRR1034024_AT2	
44	SRR1034005_AT2	
45	SRR1033996_AT2	
46	SRR1034009_AT2	
