	adjusted_p_values	mean_all	mean_kmeans_2	pvalues	ratio kmeans_2 to kmeans_0
Acsl4	6.649621461560868e-09	3.845270650502986	0.9888583842444968	5.841199456747073e-13	3.1300573816383035
Sftpb	2.46141097530973e-07	3.1554169318220673	0.408327801800296	4.3432005655348044e-11	3.1766683966743057
Trf	2.46141097530973e-07	2.7794040209993676	0.3110877941521465	7.005978302146022e-11	5.316019970137152
Cbr2	2.46141097530973e-07	4.164910955344306	0.11166283794812112	8.648668219640654e-11	6.581011880516443
Fasn	4.13628201053907e-07	2.681180082479579	0.7495859125640055	1.8167085429282632e-10	2.893072392780075
Aldh1a7	7.20122445156641e-07	1.6652579733475779	0.20171968831462356	3.7954450728565055e-10	4.286228518452601
Dcxr	2.278862753024289e-06	1.930567848458588	0.43513923814610617	1.401268382920768e-09	3.7438079546023455
Nupr1	3.912984542845984e-06	2.4049979397343035	0.08359764044125945	2.74981345245677e-09	4.72168882354177
Ldhb	2.2710444969452816e-05	2.1767331343870895	0.32205107746514094	1.7954497955470426e-08	3.976147421191857
Hp	2.278956278144095e-05	2.0892666776071382	0.048450047784013836	2.0018941304849745e-08	5.586666147946408
Pdpn	3.207622420763054e-05	3.8247791480442523	7.665223484907192	3.099424334890512e-08	0.5932251229171804
Atp6v1c2	3.979313174069712e-05	1.7755489330181873	0.0	4.1946379206637865e-08	3.660215483973442
Herpud1	4.477069766842936e-05	3.230691073238246	1.6273003712698306	5.112606023274611e-08	2.442755740275616
Col4a4	4.995470525626627e-05	3.0125562385936426	5.881539774537972	6.229225826043793e-08	0.47474857810817245
Clic5	4.995470525626627e-05	4.7390813053248255	8.280160130471764	6.582225745291586e-08	0.6871117153127198
Cebpa	6.407968529787779e-05	1.105577288282094	0.006937713570740154	9.006280435400955e-08	3.091519118116475
Cd24a	7.662891687761509e-05	1.771176104354615	0.7538961301163178	1.1768417725557606e-07	3.135737111236141
Sdpr	7.662891687761509e-05	3.5423512564662616	7.141794926667356	1.250272451785709e-07	0.597080821561647
Scgb3a2	7.662891687761509e-05	1.3727912256875607	0.20640991011163107	1.2789436232209125e-07	5.348845850000101
Sftpd	8.305227103711904e-05	4.4680208588628165	0.7636946943235207	1.4591052536387743e-07	3.3338635718535503
Bmp3	8.794686473058205e-05	0.6689961765820309	0.0	1.6223508075739838e-07	3.5207837722810367
Cd200	9.528270500944798e-05	2.2786238380927215	0.16707666691495898	1.8413734278002946e-07	3.6520502771212193
Cyp2f2	0.00010327538131672738	1.375759224217816	0.07754082616341675	2.0865546119858835e-07	5.196333613449113
Cxcl15	0.00010357273831817223	5.228100926066617	1.0195962980570676	2.2161619418655165e-07	2.8387291351978967
Sftpa1	0.00010357273831817223	6.006084428921483	0.729234820389666	2.3553376605599313e-07	3.5075888031380766
Rtkn2	0.00010357273831817223	3.2685389198195796	6.779936606187352	2.3655052672808132e-07	0.5602157303305763
Scgb1a1	0.0001041672804714773	2.3039736393577828	0.7157412088149633	2.4705872915757967e-07	4.150670448305053
