	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_2	pvalues	ratio kmeans_0 to kmeans_2
Acsl4	6.649621461560868e-09	3.845270650502986	0.9888583842444968	5.225240866637717	5.841199456747073e-13	0.31948296087677147
Sftpb	2.46141097530973e-07	3.1554169318220673	0.408327801800296	3.4737904201367957	4.3432005655348044e-11	0.3147952115640753
Trf	2.46141097530973e-07	2.7794040209993676	0.3110877941521465	5.969768896315877	7.005978302146022e-11	0.1881106552679486
Cbr2	2.46141097530973e-07	4.164910955344306	0.11166283794812112	6.31586634366521	8.648668219640654e-11	0.15195231647591637
Fasn	4.13628201053907e-07	2.681180082479579	0.7495859125640055	4.0616787024358585	1.8167085429282632e-10	0.3456532931894794
Aldh1a7	7.20122445156641e-07	1.6652579733475779	0.20171968831462356	4.15084519924011	3.7954450728565055e-10	0.23330533957648542
Dcxr	2.278862753024289e-06	1.930567848458588	0.43513923814610617	4.372885695733342	1.401268382920768e-09	0.26710771816451695
Nupr1	3.912984542845984e-06	2.4049979397343035	0.08359764044125945	4.116410868087729	2.74981345245677e-09	0.21178862846999166
Ldhb	2.2710444969452816e-05	2.1767331343870895	0.32205107746514094	4.256669982346937	1.7954497955470426e-08	0.2514997292782088
Hp	2.278956278144095e-05	2.0892666776071382	0.048450047784013836	4.857340389767743	2.0018941304849745e-08	0.1789976299850293
Pdpn	3.207622420763054e-05	3.8247791480442523	7.665223484907192	4.140428266938907	3.099424334890512e-08	1.6857006916404802
Atp6v1c2	3.979313174069712e-05	1.7755489330181873	0.0	2.660215483973442	4.1946379206637865e-08	0.27320795848730306
Herpud1	4.477069766842936e-05	3.230691073238246	1.6273003712698306	5.4178530633476365	5.112606023274611e-08	0.4093737181791128
Col4a4	4.995470525626627e-05	3.0125562385936426	5.881539774537972	2.267001223156736	6.229225826043793e-08	2.106378083289694
Clic5	4.995470525626627e-05	4.7390813053248255	8.280160130471764	5.376506745625167	6.582225745291586e-08	1.4553674136452146
Cebpa	6.407968529787779e-05	1.105577288282094	0.006937713570740154	2.1129671922564346	9.006280435400955e-08	0.3234655720354256
Cd24a	7.662891687761509e-05	1.771176104354615	0.7538961301163178	4.499757184459189	1.1768417725557606e-07	0.31890428455138875
Sdpr	7.662891687761509e-05	3.5423512564662616	7.141794926667356	3.861309603800993	1.250272451785709e-07	1.6748151404101879
Scgb3a2	7.662891687761509e-05	1.3727912256875607	0.20640991011163107	5.452900641099593	1.2789436232209125e-07	0.18695621972354673
Sftpd	8.305227103711904e-05	4.4680208588628165	0.7636946943235207	4.879917493276568	1.4591052536387743e-07	0.2999522861231011
Bmp3	8.794686473058205e-05	0.6689961765820309	0.0	2.5207837722810367	1.6223508075739838e-07	0.2840276667578829
Cd200	9.528270500944798e-05	2.2786238380927215	0.16707666691495898	3.2622226648284856	1.8413734278002946e-07	0.27381879331307135
Cyp2f2	0.00010327538131672738	1.375759224217816	0.07754082616341675	4.599261614856689	2.0865546119858835e-07	0.19244337919563273
Cxcl15	0.00010357273831817223	5.228100926066617	1.0195962980570676	4.733086852632414	2.2161619418655165e-07	0.3522703126553449
Sftpa1	0.00010357273831817223	6.006084428921483	0.729234820389666	5.065444693995275	2.3553376605599313e-07	0.2850961318799246
Rtkn2	0.00010357273831817223	3.2685389198195796	6.779936606187352	3.3584428677608322	2.3655052672808132e-07	1.7850266350248905
Scgb1a1	0.0001041672804714773	2.3039736393577828	0.7157412088149633	6.121476332367458	2.4705872915757967e-07	0.24092493308119772
Gm43305	0.00012929236285615792	0.7067734455379732	0.17034032107799651	1.5664128169218543	3.180065144037616e-07	0.45602185017206165
Ly6e	0.0001579393920460987	3.130831619763043	0.19718767939785228	3.8796713426001044	4.023403346220012e-07	0.24534186738075225
Copz1	0.00021477933485761254	2.097957550607835	1.169705323397383	4.789518493933322	5.660031663499979e-07	0.3747643825079681
Akap5	0.0002198630386459312	5.345578865533837	9.805099171282428	6.243411257939158	6.036676624081436e-07	1.4917141642950997
Kcnj13	0.0002198630386459312	2.0318487758821258	0.21695678900596033	3.0726204799542276	6.180268127784433e-07	0.29881418978171953
Pi4k2b	0.00035852080470945286	2.714820839923856	0.5688576454238103	3.3085090312212557	1.0392820234901566e-06	0.36413005846226915
Emb	0.00039112344075042336	1.5544305854000315	0.07050310643843576	2.4827097099577795	1.1681480134851014e-06	0.30737649577214216
Isca1	0.00048682414265295495	1.6587530012472733	1.1129673468326646	4.120224503941061	1.4967362080862106e-06	0.4126708399614712
C3	0.0004944984945540413	1.0700281555175202	0.02496188522048361	2.796324873203814	1.5637689567766591e-06	0.26998792765475116
Cldn10	0.000521718491854468	2.1367988418351316	1.5497843883584854	5.240488573026968	1.6956767567300874e-06	0.4085873018627618
Atp2a2	0.0005486580529189891	1.9785045009405016	0.5826393962783637	3.0332926425410527	1.8314306053163726e-06	0.39239389167686833
5330417C22Rik	0.0005507698538252124	0.9411716497052528	0.04404999665877533	2.9157709281798727	1.8868608836246734e-06	0.2666269339570561
Chad	0.0006655966511661535	0.595188240793641	0.027381371242755817	2.512758866955773	2.3868520342362598e-06	0.2924713622979493
Qpct	0.0006655966511661535	0.8797956489858277	0.2275556173598991	2.8033478411288772	2.397176976266013e-06	0.322756599879002
mt-Rnr2	0.0007479268786078226	11.326608239082525	11.939874693164807	11.21619707298099	2.7593929112375745e-06	1.0592391900573053
Mtus1	0.0007785321090440769	1.0506734761333092	0.1150037943835215	2.9431923046885498	2.9406957737961444e-06	0.2827667808789735
Cd36	0.0008926350871734732	4.171810092703202	0.3767367732089217	3.2728605699226208	3.5696286939209657e-06	0.32220493757741636
Eef1g	0.0008926350871734732	3.1346720514333892	1.936278686016152	5.186743516897249	3.65625808648923e-06	0.4746081162079178
Fam13a	0.0008926350871734732	0.925797157254176	0.4046231219352792	2.8154294961071202	3.676706570733991e-06	0.36814285871837366
Foxa1	0.0008926350871734732	1.1590282689796976	0.24955573100452677	2.6538274856350323	3.6853346009445923e-06	0.3419854210186814
Lamp3	0.0009186305006392411	4.085362003612396	0.22792874368760865	3.034237322795546	3.873354184002422e-06	0.304376923179301
Fabp5	0.0010408093158767377	2.225550730840743	0.07543173972197852	2.899692015020724	4.479941714508094e-06	0.27577350610757484
Vimp	0.0013642667801434104	2.429594466437459	0.7793083654821783	3.2482740711821267	5.992036103932758e-06	0.4188308794745596
Emp2	0.0014427992528406326	6.616462005872445	9.41585212526159	6.886681951096083	6.463700096176411e-06	1.320688749698345
Mgst1	0.001573568698849838	5.73131187801683	3.5537668550107844	7.260032422706655	7.187769882307763e-06	0.5513013293377125
Mrpl28	0.0016372478017718983	1.1327294027612849	0.43078018718112954	3.177189109605912	7.658189047890793e-06	0.3425222439393254
Limch1	0.0016372478017718983	3.9848441864836595	6.810826316428274	4.228839488987535	7.766284372424676e-06	1.4937973010796497
Col23a1	0.0016425337068968107	0.7299220838001464	0.0	2.4240461044512878	7.93564247007419e-06	0.29205214225941406
Slc9a3r1	0.001772002377954695	0.548798630192908	0.0576314782115452	1.6119778156647053	8.74971133085901e-06	0.40491594984791074
Vamp5	0.001772002377954695	0.9685198616450865	0.24034147138345469	2.391027487867435	8.872464471487844e-06	0.36577157685132367
Rpl7l1	0.001969849507648461	0.9687593342905152	0.3154437557469893	2.7407471780270334	1.0036127147189982e-05	0.35165267609472295
Mrps18c	0.0019969621015955563	1.4899635075980822	0.7784732484942885	2.8704840909775746	1.0349680603842045e-05	0.45949633345349744
Col4a3	0.00212731822287843	3.6982911669273717	7.0656331078517205	3.5665442013665345	1.1212148047496997e-05	1.766244396679241
Tubb4b	0.0021553245634602985	2.4516248542140993	0.7579397039062956	3.6402698608819493	1.1714192714159165e-05	0.3788442820375482
Deptor	0.0021553245634602985	0.9714427952852815	0.11807500772544757	1.406720785907817	1.1738415577524464e-05	0.4645636561881892
Chil1	0.00220810489943711	3.7366147797774065	0.1850923582127899	2.969785165524188	1.2219835617053577e-05	0.29852808371213335
Tspan3	0.002359008389747079	0.6217903041451717	0.09105928205744127	2.1717958855624393	1.3262169443412952e-05	0.34398786095403766
Cav1	0.002370534121997157	4.384348786816015	8.323551537633174	5.414821078882137	1.3535200099245889e-05	1.4534390629111544
Gclc	0.0025178987509710963	2.153667014822011	0.331247005032957	2.687542584925966	1.4597796693964543e-05	0.36101196782780587
Krt15	0.002545881469966737	0.6034106359072255	0.10385278662686481	2.3742736393465584	1.4983666416705145e-05	0.32713789828872036
Pla2g1b	0.0025872428858989016	1.4282329512826422	0.10129942693783969	1.8329363009958228	1.5633521348943848e-05	0.3887483903364559
