	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Pdpn	5.955306866956977e-47	3.8247791480442523	7.665223484907192	0.23171019056095155	5.2349743907849654e-51	7.03511552580468
Akap5	2.021001142581658e-41	5.345578865533837	9.805099171282428	0.9020080089557838	3.5530962422321695e-45	5.680890469653966
Cav1	2.7539736257623947e-39	4.384348786816015	8.323551537633174	0.33801154120096083	7.262588675533741e-43	6.968214586000223
Slc34a2	1.0505019337028617e-38	5.129037614465891	1.1066763911255388	9.345446013820709	3.693748008800498e-42	0.2036332110100602
Sftpa1	5.005414450932715e-38	6.006084428921483	0.729234820389666	11.20189373097606	2.1999887706279515e-41	0.14171856094761612
Rtkn2	1.1159008713349857e-37	3.2685389198195796	6.779936606187352	0.08478577986135748	5.88555311885541e-41	7.171864482941211
Sdpr	5.608780613301761e-37	3.5423512564662616	7.141794926667356	0.1629547780730797	3.451253893557694e-40	7.000955738070605
Lamp3	6.81541285946327e-36	4.085362003612396	0.22792874368760865	8.069174540983576	4.792836047442525e-39	0.13539586630939804
S100a6	7.125308016538092e-34	3.741250253395462	6.7555519506465895	0.3063470490348339	5.637110772577605e-37	5.936823569492204
Cxcl15	3.648798839102525e-33	5.228100926066617	1.0195962980570676	9.241665439658576	3.207453269253275e-36	0.19719412921228902
Cd36	1.2289792538101184e-32	4.171810092703202	0.3767367732089217	8.022190262181791	1.188358983114566e-35	0.15259451787220374
Clic5	1.4593728567765318e-31	4.7390813053248255	8.280160130471764	1.2492191516358984	1.539422844700983e-34	4.125947497700316
Hopx	8.393383622749924e-31	3.366238787549456	6.172650901587621	0.38844579755090414	9.591595208838697e-34	5.165956722429889
Sftpb	8.873123460114709e-28	3.1554169318220673	0.408327801800296	5.447688841212723	1.0919807352461843e-30	0.21842366101764438
Scd1	7.733676363959912e-27	4.227234343623395	0.5553981777712549	8.15478721918576	1.0197358074841656e-29	0.16989998134654563
Ahnak	3.2065025823745042e-24	4.674715494575006	7.45892959995085	1.625701561127751	4.509848920357952e-27	3.2215883652511144
Chil1	1.4281946516979696e-23	3.7366147797774065	0.1850923582127899	7.301888236113388	2.1342571271857847e-26	0.14274973650664355
Sftpd	1.3948956390746494e-22	4.4680208588628165	0.7636946943235207	7.567939575558994	2.2071133529662173e-25	0.2058481714033858
Hc	1.408606819348907e-22	3.2144572531457465	0.21846431548444703	6.552929192763027	2.3526309394892086e-25	0.16132341299478092
Cbr2	1.0615874539260826e-21	4.164910955344306	0.11166283794812112	6.688602266215328	1.8663633156225082e-24	0.14458581670076828
Sftpc	1.3567336319022342e-21	9.543054871756373	4.929880835518159	13.862272708034109	2.5045188352625633e-24	0.3989888324625237
