	kmeans_0_cells	kmeans_1_cells2
0	SRR1033919_C18.5_3	SRR1033982_AT2
1	SRR1033894_C18.5_2	SRR1034022_AT2
2	SRR1033872_C18.5_1	SRR1034013_AT2
3	SRR1033926_C18.5_3	SRR1033870_C18.5_1
4	SRR1033907_C18.5_2	SRR1034020_AT2
5	SRR1033910_C18.5_3	SRR1033981_AT2
6	SRR1033916_C18.5_3	SRR1033921_C18.5_3
7	SRR1033908_C18.5_2	SRR1034017_AT2
8	SRR1033875_C18.5_2	SRR1033994_AT2
9	SRR1033928_C18.5_3	SRR1033995_AT2
10	SRR1033879_C18.5_2	SRR1033987_AT2
11	SRR1033934_C18.5_3	SRR1033997_AT2
12	SRR1033929_C18.5_3	SRR1034018_AT2
13	SRR1033899_C18.5_2	SRR1033983_AT2
14	SRR1033933_C18.5_3	SRR1033986_AT2
15	SRR1033882_C18.5_2	SRR1034006_AT2
16	SRR1033922_C18.5_3	SRR1034002_AT2
17	SRR1033860_C18.5_1	SRR1033984_AT2
18	SRR1033896_C18.5_2	SRR1033988_AT2
19	SRR1033890_C18.5_2	SRR1033998_AT2
20	SRR1033876_C18.5_2	SRR1033990_AT2
21	SRR1033909_C18.5_3	SRR1034014_AT2
22	SRR1033901_C18.5_2	SRR1034008_AT2
23	SRR1033895_C18.5_2	SRR1033991_AT2
24	SRR1033888_C18.5_2	SRR1033904_C18.5_2
25	SRR1033898_C18.5_2	SRR1033900_C18.5_2
26	SRR1033891_C18.5_2	SRR1034007_AT2
27	SRR1033867_C18.5_1	SRR1033856_C18.5_1
28	SRR1033878_C18.5_2	SRR1034004_AT2
29	SRR1033906_C18.5_2	SRR1034019_AT2
30	SRR1033897_C18.5_2	SRR1033877_C18.5_2
31	SRR1033893_C18.5_2	SRR1034001_AT2
32	SRR1033881_C18.5_2	SRR1034010_AT2
33	SRR1033883_C18.5_2	SRR1033915_C18.5_3
34	SRR1033880_C18.5_2	SRR1033914_C18.5_3
35	SRR1033871_C18.5_1	SRR1033853_C18.5_1
36	SRR1033889_C18.5_2	SRR1033992_AT2
37	SRR1033927_C18.5_3	SRR1034021_AT2
38	SRR1033869_C18.5_1	SRR1033993_AT2
39	SRR1033902_C18.5_2	SRR1033855_C18.5_1
40	SRR1033862_C18.5_1	SRR1033863_C18.5_1
41	SRR1033885_C18.5_2	SRR1033932_C18.5_3
42		SRR1034026_AT2
43		SRR1034024_AT2
44		SRR1034005_AT2
45		SRR1033996_AT2
46		SRR1034009_AT2
