	adjusted_p_values	mean_all	mean_kmeans_1	mean_kmeans_2	pvalues	ratio kmeans_1 to kmeans_2
Hopx	1.5540443365271313e-13	3.366238787549456	0.3884457975509041	4.286528860063163	1.3604520148184638e-17	0.2626384598105297
Krt7	2.3949777228772497e-13	3.2727656020045575	0.4383060780522206	5.375035925084706	4.193255226958329e-17	0.22561536828251044
S100a6	2.431030230709098e-13	3.741250253395462	0.3063470490348339	5.192907725078882	6.384566831941955e-17	0.2109424372245421
Agrn	4.1145492731389146e-11	3.096647583735187	0.40819670285698556	4.126807583721113	1.440794632982199e-14	0.2746732113232335
Sdpr	1.2228368242685227e-10	3.5423512564662616	0.1629547780730797	3.861309603800993	5.352520459898987e-14	0.23922664319996836
Actb	2.0169123491968438e-10	10.206408129833614	8.445864575950862	11.448189175951235	1.0593954386046628e-13	0.7588143498171935
Cav1	2.4958186826594963e-10	4.384348786816015	0.3380115412009609	5.414821078882135	1.5294345424683947e-13	0.20858127214268718
Msln	5.447203642828099e-10	2.7962235636739377	0.06313787135558031	3.850389126330937	4.2351192127170107e-13	0.21918609902537614
Pdcd4	5.447203642828099e-10	2.6497200351929266	0.9828332491419501	5.0898024530125285	4.2917651042154337e-13	0.32559894420894947
Anxa1	6.21708678644955e-10	4.655918539758029	1.8552757762742793	7.595697981517373	5.442604207694608e-13	0.3321749766468931
Krt19	1.3388950639162547e-09	3.2487631855223116	0.5102958754784104	4.796253878103527	1.2893150401014446e-12	0.26056413456695643
Slc34a2	2.190029223492829e-09	5.129037614465891	9.34544601382071	3.9110366399083154	2.3006522526406327e-12	2.1065707247531043
Ahnak	3.926404142353263e-09	4.674715494575006	1.6257015611277512	5.773326429834825	4.468463087682082e-12	0.38765318463940945
Lyz2	4.294043646546968e-09	4.665559878342134	10.238247337549327	1.404527533153134	5.262769066940168e-12	4.6737860900316885
2200002D01Rik	7.333347302056989e-09	1.7909437011828566	0.09627842467957368	2.5624644211468763	9.629712818949036e-12	0.3077303504203545
Tes	9.479808606689547e-09	2.1982335754510878	0.40367159234347716	3.6469006710729204	1.327820517438788e-11	0.30206619243690097
Pdpn	1.0027091607317553e-08	3.8247791480442523	0.23171019056095157	4.140428266938907	1.492257352047609e-11	0.23961236819173184
Tmem213	1.010542697950835e-08	3.691439649438807	1.0268300941027737	5.387310017000053	1.5923810350271408e-11	0.3173213901796364
Akap5	1.0114437055880672e-08	5.345578865533837	0.9020080089557836	6.243411257939158	1.6823453038758012e-11	0.26258456702580335
Dynlt1f	1.2893179311089568e-08	2.851431119460846	1.181573779489006	5.095412492206941	2.2574068652875022e-11	0.35790420784125354
Fstl1	2.4803078137242253e-08	5.98466823493491	2.1207842128160213	8.550057321003516	4.705757416360945e-11	0.3267817257968134
Cyr61	2.4803078137242253e-08	3.5031380416146507	1.109470824275274	5.969726748255727	4.7769212905482755e-11	0.3026619120761368
Rnase4	2.9335616686145295e-08	4.545897577904601	7.880370266537546	2.3886041721519953	6.275324308235245e-11	2.6206573017638424
Gm10076	2.9335616686145295e-08	3.8823089749053215	1.7417540046913904	5.807945969545014	6.616767546374926e-11	0.4027285200200592
Sftpa1	2.9335616686145295e-08	6.006084428921483	11.201893730976062	5.065444693995275	6.634749935327973e-11	2.011706370524787
Gm12715	2.9335616686145295e-08	2.0753968849627857	0.531843327073933	3.370732400809505	6.875519375513604e-11	0.3504774913216421
Dynlt1b	2.9335616686145295e-08	2.9774503004547412	1.0796999067634399	4.896577849447557	6.933919727969211e-11	0.3526960823485582
Cldn7	3.387105418603365e-08	1.791227710334279	0.5744500419021739	3.9131800904728777	8.302455722743082e-11	0.3204543723026115
Lamp3	3.690390320385195e-08	4.085362003612396	8.069174540983578	3.034237322795546	9.372532061198688e-11	2.248051816321764
Kdm6b	3.690390320385195e-08	1.6689209735676873	0.541306419332436	3.14450669852334	9.691999440738496e-11	0.37189140504504264
Rps19	4.452159804520798e-08	8.426041999760495	7.042220735230304	9.39074002163442	1.208237362690578e-10	0.7739795932229758
Rplp0	5.726367070474788e-08	6.829725006410066	5.28343821922184	8.748868033985795	1.6041648100778535e-10	0.6445300313140946
Clic3	8.466105437510321e-08	5.084369914399454	2.2386604333350695	6.535233259728012	2.472943424595868e-10	0.4298022797308826
Rtkn2	8.466105437510321e-08	3.2685389198195796	0.08478577986135749	3.3584428677608322	2.5198948163823067e-10	0.24889296768932306
Emp1	9.224153573583e-08	1.746094651208114	0.2180757957965578	4.243084663086286	2.82627484089473e-10	0.23232045142668942
Tmsb10	1.2093826281171058e-07	2.3839584198218713	0.6847009536998347	3.252020385803663	3.9072452044305303e-10	0.39621187126115204
