	adjusted_p_values	mean_all	mean_kmeans_1	pvalues	ratio kmeans_1 to kmeans_0
Pdpn	5.955306866956342e-47	3.8247791480442523	7.665223484907192	5.2349743907844076e-51	0.14214407657301684
Akap5	2.0210011425817794e-41	5.345578865533837	9.805099171282427	3.553096242232383e-45	0.17602874150483522
Cav1	2.7539736257631128e-39	4.384348786816015	8.323551537633174	7.262588675535635e-43	0.1435087837290618
Slc34a2	1.0505019337028185e-38	5.129037614465891	1.1066763911255388	3.6937480088003466e-42	4.910790312836527
Sftpa1	5.005414450932444e-38	6.006084428921483	0.729234820389666	2.1999887706278325e-41	7.0562387404542815
Rtkn2	1.115900871334943e-37	3.2685389198195796	6.779936606187352	5.885553118855184e-41	0.13943375566821864
Sdpr	5.608780613301761e-37	3.5423512564662616	7.141794926667356	3.451253893557694e-40	0.14283764066127208
Lamp3	6.81541285946244e-36	4.085362003612396	0.22792874368760868	4.7928360474419414e-39	7.385749855278917
S100a6	7.125308016537869e-34	3.741250253395462	6.7555519506465895	5.637110772577428e-37	0.16844024220944354
Cxcl15	3.64879883910247e-33	5.228100926066617	1.0195962980570679	3.207453269253227e-36	5.07114488648621
Cd36	1.2289792538101184e-32	4.171810092703202	0.3767367732089217	1.188358983114566e-35	6.553315374261935
Clic5	1.4593728567765318e-31	4.7390813053248255	8.280160130471765	1.539422844700983e-34	0.24236857123300065
Hopx	8.393383622749316e-31	3.366238787549456	6.172650901587621	9.591595208838001e-34	0.19357498595722544
Sftpb	8.873123460114757e-28	3.1554169318220673	0.4083278018002959	1.0919807352461903e-30	4.578258579409216
Scd1	7.733676363959415e-27	4.227234343623395	0.5553981777712549	1.0197358074841001e-29	5.885815831611518
Ahnak	3.2065025823745935e-24	4.674715494575006	7.4589295999508485	4.509848920358078e-27	0.310405888842367
Chil1	1.4281946516979696e-23	3.7366147797774065	0.1850923582127899	2.1342571271857847e-26	7.005266871042249
Sftpd	1.3948956390746847e-22	4.4680208588628165	0.7636946943235207	2.2071133529662733e-25	4.857949396307108
Hc	1.4086068193488713e-22	3.2144572531457465	0.21846431548444703	2.352630939489149e-25	6.1987282653904145
Cbr2	1.0615874539260826e-21	4.164910955344306	0.11166283794812112	1.8663633156225082e-24	6.916307718270726
Sftpc	1.3567336319022889e-21	9.543054871756373	4.929880835518159	2.5045188352626643e-24	2.506335813531644
Agrn	1.4812046706957868e-21	3.096647583735187	5.516489283773597	2.8644956711768026e-24	0.21609744780267956
Lyz2	2.1748818020651697e-20	4.665559878342134	0.29290429981351584	4.3971766391964575e-23	8.692249951655581
Msln	2.832848211932315e-20	2.7962235636739377	5.2522962787976235	5.976473020954251e-23	0.17003958608948583
Limch1	3.0853664236024314e-20	3.9848441864836595	6.810826316428275	6.78042902514599e-23	0.2989318943722129
