	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
S100a6	6.828762955227109e-28	3.741250253395462	6.1873176868037865	0.3063470490348339	5.978081900750336e-32	0.1817572432387873
Hopx	7.965282557742673e-28	3.366238787549456	5.486788341033273	0.3884457975509041	1.3946043172096075e-31	0.21404209981202194
Cav1	6.302680290280803e-27	4.384348786816015	7.265831370814614	0.3380115412009609	1.6552605157001147e-30	0.16187259105300345
Slc34a2	7.544939587864184e-27	5.129037614465891	2.1264437543192756	9.34544601382071	2.6420168389614583e-30	3.309013955401618
Akap5	3.8616759924660945e-26	5.345578865533837	8.509939930066693	0.9020080089557836	1.690307271498772e-29	0.2000021054751757
Lamp3	1.8780700817198841e-25	4.085362003612396	1.2484045906359498	8.069174540983578	9.864676959046927e-29	4.033604351616454
Sftpa1	3.863085660883979e-25	6.006084428921483	2.306038410791706	11.201893730976062	2.3672940231277118e-28	3.6907900679998575
Pdpn	4.611791651787358e-25	3.8247791480442523	6.383479769282362	0.23171019056095157	3.229828697741299e-28	0.16681974205242087
Ahnak	9.65725010749199e-25	4.674715494575006	6.845982992635931	1.6257015611277512	7.608793746601411e-28	0.33465552545706223
Lyz2	9.677642144582232e-25	4.665559878342134	0.6971309301188316	10.238247337549327	8.472067009176426e-28	6.621909446174806
Sdpr	1.4729606277984203e-24	3.5423512564662616	5.94889117289777	0.1629547780730797	1.4184160820960013e-27	0.16735832367167638
Clic5	1.2374639557458988e-23	4.7390813053248255	7.224286172345728	1.2492191516358986	1.299970889341748e-26	0.2734850301292929
Cd36	3.1173624993312153e-23	4.171810092703202	1.4298726992866306	8.022190262181793	3.547729361052771e-26	3.713030013807124
Actb	1.5842202075011956e-22	10.206408129833614	11.460128539416786	8.445864575950862	1.9416162921313785e-25	0.7580872497478256
Cxcl15	1.7397832245194322e-22	5.228100926066617	2.369956499720829	9.24166543965858	2.2845792145488475e-25	3.0391090925081707
Scd1	8.647343278129053e-22	4.227234343623395	1.430340629207773	8.154787219185758	1.2112185279704531e-24	3.7668741200981266
Rtkn2	2.0602693578835303e-21	3.2685389198195796	5.535757064941344	0.08478577986135749	3.066145415741925e-24	0.16597706571443577
Agrn	2.9285465369270893e-21	3.096647583735187	5.011150483754513	0.40819670285698556	4.614710467012835e-24	0.2342640908196725
Clic3	1.2331290750160177e-20	5.084369914399454	7.110859999399848	2.2386604333350695	2.0510769872454117e-23	0.3992992646371297
Hc	2.656948725397874e-20	3.2144572531457465	0.8370605688728356	6.552929192763025	4.6519280843874187e-23	4.111420886572766
Fstl1	2.521809825404209e-19	5.98466823493491	8.736222008261997	2.1207842128160213	4.636085645932627e-22	0.3205333865813429
Myh9	1.1313036244970618e-18	4.11848606805405	5.713648038856732	1.8784713856502853	2.178821652712541e-21	0.42874922381848013
Tmem213	1.3572766266601908e-18	3.691439649438807	5.588964635814467	1.0268300941027737	2.732851476248305e-21	0.30760980004140454
S100g	1.958004802762064e-18	2.127255174118344	0.42441093708512945	4.518483251654348	4.113815570891144e-21	3.87422134159346
Gprc5a	2.4732203919869316e-18	4.933044470950694	7.1819421539899775	1.7750179373210637	5.41280835154279e-21	0.3391637199448798
Krt7	3.188713514877576e-18	3.2727656020045575	5.291244353910009	0.4383060780522206	7.257861453805215e-21	0.22862028513616917
Chil1	4.2716256463977755e-18	3.7366147797774065	1.1977079245078437	7.30188823611339	1.0096637700493736e-20	3.7775211817432566
Dpysl2	5.2708704842408625e-18	6.518149657450423	8.958231768629748	3.0916513736666866	1.2919931152827117e-20	0.4108813159537155
Msln	8.421924753422417e-18	2.7962235636739377	4.742511859718828	0.06313787135558031	2.1381057327256422e-20	0.18513464095965054
Krt19	4.210097625922181e-17	3.2487631855223116	5.198883845705089	0.5102958754784104	1.1056896505091958e-19	0.24363997020605932
Rps19	4.771745975848741e-17	8.426041999760495	9.411490476016839	7.042220735230304	1.2949673925528404e-19	0.7724370255878142
Lmo7	7.612662696559385e-17	5.273326826914959	7.161273729378855	2.6221673468592726	2.1325851903169072e-19	0.4438237788569985
Gm10076	8.968170897772668e-17	3.8823089749053215	5.40664357490615	1.7417540046913904	2.5908223726385193e-19	0.4279548210595677
Lgals3	1.2587870561972863e-16	3.225050828707054	5.0555400750602635	0.6545765678706321	3.7467180172203213e-19	0.2732335262192392
Sftpb	2.553858677960279e-16	3.1554169318220673	1.523041481195387	5.447688841212726	7.825006892113259e-19	2.5555223286134354
Qk	3.319935391240635e-16	4.963288069659588	7.036129999473727	2.0524887639631366	1.0462897144766073e-18	0.37984561774922004
Egfl6	3.4487380378571304e-16	3.422578932067197	1.4431444739214974	6.20221029882499	1.1170735130938793e-18	2.9479264839646193
Rnase4	3.8611994803894273e-16	4.545897577904601	2.1713488450902307	7.880370266537546	1.2844750087962727e-18	2.800187144434085
Tmsb10	4.0111025432490667e-16	2.3839584198218713	3.5940357063027157	0.6847009536998347	1.3694563528557611e-18	0.36671481490414526
Limch1	1.3755330184345567e-15	3.9848441864836595	5.871922015540733	1.3349051073822378	4.816713712455771e-18	0.3397746805190586
2200002D01Rik	1.3762578315302036e-15	1.7909437011828566	2.9977507920261033	0.09627842467957368	4.939733090496222e-18	0.2742238027608439
H2-Aa	1.6206146038898647e-15	2.241806824346502	0.2050580650748372	5.101922103323734	5.958663517760161e-18	5.063591772189657
Ppp3ca	2.7193958294995067e-15	3.69034577035019	5.379343018707486	1.3185624003165421	1.0236717208130858e-17	0.3634484606827592
Ptrf	6.52638496286149e-15	4.300166025354171	6.087158726744442	1.7907720191465595	2.5138837290195703e-17	0.39377868152087075
Sftpc	9.457242592482051e-15	9.543054871756373	6.46724823077071	13.86227270803411	3.725605503472751e-17	1.990327929208287
Baiap2l1	1.165247894670863e-14	2.4265187883959634	0.7139967825889432	4.831336924210076	4.69241032608419e-17	3.402186622195409
Cd74	3.051533181417866e-14	2.0506724091943735	0.5454573001836027	4.164378732486095	1.2555551039712834e-16	3.341650870504516
Itgb6	3.738724111220855e-14	3.085272488398372	5.1852161875601475	0.13641537893715575	1.571030003839631e-16	0.1837309068069021
Etv5	4.322647663866655e-14	3.1742832122354088	1.2501190717404267	5.876300941441128	1.854239127457464e-16	3.055972027348061
Dag1	8.778604383117105e-14	3.869683793736004	5.472390863314845	1.6190738662423103	3.842512642526965e-16	0.4046532296260222
Rpl36	1.2222036517214087e-13	4.617981866561329	6.253296263661316	2.3215829259528347	5.456743958486549e-16	0.4579411629156545
Anxa1	2.083568400459918e-13	4.655918539758029	6.6503156592085775	1.8552757762742793	9.484860091387178e-16	0.37322326338749484
Emp2	2.5277653587767736e-13	6.616462005872445	8.496153880110496	3.9768946931126297	1.1728229363141818e-15	0.5240958345816864
Col4a3	2.5700847550692794e-13	3.6982911669273717	5.793237141857108	0.7564521383026354	1.21495733847274e-15	0.2585589317175616
Sftpd	3.3516649156515435e-13	4.4680208588628165	2.2605029848519016	7.567939575558994	1.613775456192199e-15	2.627796881452071
Atxn1	3.394414283108557e-13	3.3349772289954487	5.010142264447424	0.9826178175096941	1.6640742349127128e-15	0.3298786834444387
Vegfa	5.45637267503707e-13	3.5205772704024123	5.010805212082895	1.4279167565532265	2.722693184602232e-15	0.4039253761996211
Lcn2	6.149163720547446e-13	1.6486745557382942	0.14275697225572853	3.7633673325435995	3.1222226717302974e-15	4.168311765485027
Gja1	7.07722408142412e-13	6.107602725877819	7.970396278604178	3.491764970985485	3.6553989390179735e-15	0.5007320559180937
Il33	8.391779751375639e-13	1.992471251775294	0.2771279253754178	4.401251242038951	4.4078331881514345e-15	4.229217085243225
Pmp22	1.2745280497324294e-12	2.8405871051867764	4.63334025727365	0.3231039554477614	6.80611144477617e-15	0.23487023595626016
Rhoa	1.2982441732117235e-12	4.627360989577546	6.118259941004356	2.5337582067228746	7.046409764433761e-15	0.496435678945475
Rps19-ps6	1.463715079507534e-12	2.310729921468769	3.3495404324292903	0.8519747358646332	8.07266479987522e-15	0.425786301940473
Arhgef26	1.5861461991481507e-12	2.441784920922134	3.992928453831415	0.2635833640708016	8.886751006345238e-15	0.2530745985557169
Krt8	1.8044007272672985e-12	3.67325035951735	5.352034690180238	1.3158085334801053	1.0267534559430482e-14	0.36457743800741027
Rgcc	1.922507377057582e-12	4.3132512024648335	5.973693393004033	1.981566424260851	1.1107895201418228e-14	0.42754481108273856
Rpl37a	2.010391183309591e-12	6.173654559615912	7.279682082335494	4.62050952771182	1.1791666749692951e-14	0.6788315628329552
Fbln5	2.239723885432587e-12	2.3601543530599622	3.9629520785355106	0.10941712154110728	1.3332856886055844e-14	0.22353976101024112
Cav2	2.2624408122382457e-12	3.171753831221182	5.033702238756687	0.5571028759585572	1.3666148651355944e-14	0.25806757018215337
Khsrp	2.7205548586359955e-12	1.3937271375301543	2.151355221534796	0.3298238706300192	1.6671525878011004e-14	0.4219847580312951
Lamc2	2.9310271474518974e-12	3.3149087361372	5.073336973857887	0.8456265299762366	1.8217887373639562e-14	0.3038900258491442
Timp3	3.160587506858375e-12	6.667563923063149	8.545266404218992	4.0307902261209	1.9921412982036507e-14	0.5270455546319063
Cnn2	3.2716725151696e-12	3.808048252035486	5.4531539458798095	1.497899830892394	2.0908000841055836e-14	0.38708201475454435
Snhg11	5.929726531981992e-12	1.482489769941359	0.10352461756955669	3.418908920080486	3.8413705976246817e-14	4.004359168545649
Sparc	6.519751075501664e-12	5.813028008299832	7.375559090324599	3.618835425031014	4.2819970578999525e-14	0.5514659230769045
Wdr45	6.519751075501664e-12	2.7377933944577393	4.45651777609963	0.32426553938614866	4.337749117903584e-14	0.24269425918240958
Cryab	6.5275668780515824e-12	3.742828550999654	5.398421327107284	1.4179535888059616	4.419915791744449e-14	0.37789846357290674
H2-Ab1	6.5275668780515824e-12	1.6208198876600803	0.13340068616090628	3.709536213169558	4.457237297452713e-14	4.155226188473435
Cd9	8.772267649859931e-12	7.048532963055608	8.377890401776735	5.181775708681263	6.066787571906982e-14	0.6591861755507469
Rpl27-ps3	1.196690081565896e-11	3.414981862413285	4.727340913057921	1.5720946849123074	8.380916267641748e-14	0.4490905507384969
Rps29	1.3641912362580853e-11	5.363893862324262	6.469419429119759	3.8114537046965458	9.673421179804335e-14	0.6441536387605906
Ywhae	1.6916455932179786e-11	5.857170872483381	7.20658809580591	3.9622445588815336	1.2143477076413748e-13	0.6046659709188472
Arglu1	1.979039595899893e-11	3.8801418545304314	5.24351238841179	1.9656215303566094	1.4379785210513099e-13	0.4749924955480063
Rps15	2.0936838304698998e-11	4.6598619904976495	5.8882814032434965	2.9348474960034823	1.543269473519769e-13	0.5712379134439359
Ager	2.0936838304698998e-11	7.117864087500456	8.899127488656704	4.616515481621473	1.5579368431230105e-13	0.5673748002596566
Rplp2	2.1976336697922768e-11	4.495656580579066	5.697237778732524	2.808329791682718	1.6545259179036662e-13	0.5686418666179504
Sec14l3	2.6531449946045556e-11	4.936291097987459	6.613069180229236	2.581666556967091	2.0206917143534653e-13	0.47046289376543454
Tspan8	3.282616725583819e-11	4.185757526390693	5.9953915202612675	1.644569364785205	2.535289082690012e-13	0.37804451075047685
Tjp1	3.282616725583819e-11	2.584091697254776	3.9280361699265187	0.6968505228646711	2.557584597539699e-13	0.34432590678204633
Rps7	3.905017905565368e-11	5.354177362016411	6.749253924113818	3.3951336790711153	3.084097203390756e-13	0.5671686232134573
Rpl41	3.905017905565368e-11	7.230592861593147	8.243667968131753	5.807976754538934	3.11088706475049e-13	0.7365016547554445
Msn	4.240204783157104e-11	4.83125635347498	6.483377415104928	2.5112565648031375	3.4150296774092054e-13	0.4692074674351974
Rpl38	4.928591188341126e-11	4.234690338050548	5.270890206517128	2.779601161054926	4.012597220657662e-13	0.6027216290801761
Rps10	5.241878431701471e-11	4.331706845931677	5.702599194503349	2.406623973469331	4.313547864658481e-13	0.5082541674673053
Sema3a	7.560400537203254e-11	2.999414525981062	4.625043812673948	0.7166159531782855	6.287648175035535e-13	0.30517379247971876
Plp2	8.513476710605765e-11	5.08939214362453	6.762768622135844	2.739544322736303	7.154808406006771e-13	0.4817281700336712
Pde7a	9.006958329119411e-11	2.922204793498564	4.4682451996799255	0.751169329499204	7.648384469268868e-13	0.3202433807470275
S100a11	9.741577311416216e-11	6.354602739499074	7.467826969031746	4.791351693772345	8.357476814486468e-13	0.6839241891635579
Gm12715	9.850780181521886e-11	2.0753968849627857	3.1745941155806054	0.531843327073933	8.545857179560253e-13	0.366944254857429
Crip2	9.850780181521886e-11	4.7911357648929656	6.448422018003304	2.463882728610361	8.623636681713985e-13	0.46504920374247577
Rpl28	1.2286811750010952e-10	4.3809088554186335	5.560943478316011	2.7238389594350827	1.0863765969982546e-12	0.5675767474209176
Cyr61	1.4465567383924212e-10	3.5031380416146507	5.207719241841176	1.109470824275274	1.2916815837873322e-12	0.3398141478527331
Dram1	1.485339384410168e-10	3.739577700525016	1.9826129124419904	6.206804849747986	1.3393150362798506e-12	2.4162722623793216
H2-Eb1	1.5955479081062784e-10	1.478642506169613	0.1992580997398981	3.275224864134744	1.4526567665504065e-12	3.564891381648353
Npnt	1.7392544685955787e-10	2.920257965874649	4.3528419537777285	0.9085442807341543	1.5987194187388231e-12	0.35654784826725794
Dynlt1b	1.8265532568047065e-10	2.9774503004547412	4.328878611113698	1.0796999067634399	1.6949544359739026e-12	0.3902697093580065
Rpl31-ps8	2.330392027441026e-10	3.750307473142383	4.8440473985373345	2.2144173651409624	2.1828936963686407e-12	0.5500327334691838
Gm11808	2.37176588859008e-10	2.981100331098184	4.103263913997764	1.4052961508562223	2.2575141370440067e-12	0.4713250561584177
Cdkn1b	2.37176588859008e-10	1.875232577520558	2.8285717244248376	0.5365010095273155	2.2631750140621443e-12	0.40132485953574304
Sepw1	2.487882219664902e-10	2.8408675321339123	4.153629825709731	0.9974140986019121	2.3957545667787726e-12	0.3875742275158147
Rpl11	2.8285150063898366e-10	4.9981514385611785	6.359794554093189	3.0860568507928225	2.748535110822655e-12	0.5551862651546896
Pxdn	2.9210746924957207e-10	1.939014300493409	3.2974906979110123	0.031366593481455846	2.8640494227393915e-12	0.23999274599542417
Rps26	2.9295289936709356e-10	5.354604856807732	6.518528321615643	3.720159140268964	2.8979845599651203e-12	0.6278035991031098
Rps18	3.171542367393703e-10	6.423146472673819	7.670432971953513	4.671637771557652	3.1651565252812933e-12	0.6541354728078579
Col4a4	3.3777404107396516e-10	3.0125562385936426	4.56716211949025	0.8294926611643644	3.4005090364620498e-12	0.328622127737117
Elovl1	3.5239782223462527e-10	3.0059253472847898	1.2161956353945957	5.519162815045488	3.578582454628078e-12	2.9416007824077974
Rpl19-ps11	3.907616096908025e-10	2.949303286199423	4.054430478634504	1.3974225478863318	4.002373136113446e-12	0.4743210057038939
Acot7	4.4020975645188826e-10	1.496641458723194	0.24476106064674039	3.254601166660341	4.54738258437563e-12	3.4180063155653175
Notch2	5.070736228417119e-10	3.117692180964981	4.372125887917972	1.3561469754565267	5.282479306501244e-12	0.4385874464996349
Fau	5.262135134601734e-10	4.823140760022509	6.091148613729541	3.0425339867317818	5.5279367605025665e-12	0.5700816901375922
Sod1	6.058825081713962e-10	6.429652577336303	7.640002710334059	4.73001196504158	6.4179097862854714e-12	0.6631956212453588
Rps28	7.386370061062717e-10	6.000178886043849	7.061185964367955	4.510254052652551	7.888795828150674e-12	0.6835537695084781
Rpl27	7.713481772081853e-10	3.1288220488195018	4.232153338756407	1.5794632161421465	8.305683778044891e-12	0.49300222090877033
Tinagl1	7.825559454364369e-10	2.385136999984967	3.69809073531481	0.5414147333515703	8.494873258698956e-12	0.3280938619948307
Myo1c	8.217402601539773e-10	2.002023976909835	3.212085840758284	0.3027881681013756	8.992167777225524e-12	0.3092976300470742
Cat	8.426808662337814e-10	3.829650972908844	2.270626543376686	6.018919320762514	9.29508790558141e-12	2.1460473177460324
Rpl32	8.863066219323203e-10	7.0783724348712695	7.957030417457521	5.844512289111853	9.890918752954831e-12	0.764149720399709
Tceb2	8.863066219323203e-10	3.2114627709522052	4.408697484148074	1.5302395566771554	9.931475760075025e-12	0.46780940588613723
Cux1	1.2819759900457926e-09	3.8588431561464267	5.20990919871449	1.961601479348721	1.4477361701471351e-11	0.47691542413563803
Rpl13a	1.5351739363342074e-09	5.616874211329502	6.571048235432506	4.276970262589116	1.7471120697141467e-11	0.696993348674348
Acsl5	1.6965582691583581e-09	2.2758688105850204	0.9005428441282685	4.207177614545565	1.945628409872581e-11	2.7398370053235857
Bsg	1.708130014492463e-09	5.287256631268321	6.602905779229739	3.439749317109735	1.9738524197934442e-11	0.5839542730147488
Ric1	1.7976811117113392e-09	2.221847981743085	3.345983023329204	0.6432753701540668	2.093071766240113e-11	0.3781136192509214
Tmem37	1.8039766660756135e-09	2.651176158198741	4.165197845036111	0.525103151150519	2.1161942856879296e-11	0.2952651954302549
Rplp0	2.1651235669346714e-09	6.829725006410066	7.930868627589558	5.28343821922184	2.5587996282603573e-11	0.7035640631652356
Iqgap1	2.7535589632691858e-09	7.786148146063692	8.831921782437815	6.317614954559602	3.2783333538003085e-11	0.7442710709548797
Fhl1	3.2644477447206235e-09	1.9698894829842284	3.355676317998081	0.023890948709456426	3.9151653771051865e-11	0.23507048594925176
