	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_0	pvalues	ratio kmeans_0 to everything
Pdpn	8.201872946737401e-22	3.8247791480442523	1.5529670051112467	7.665223484907192	7.20473730388036e-26	3.394177624528132
Sdpr	2.795226088389917e-21	3.5423512564662616	1.4131028881782899	7.141794926667356	4.910797765969636e-25	3.3739941079817757
Rtkn2	4.6926863462074134e-21	3.2685389198195796	1.1913740912639967	6.779936606187352	1.236653113020225e-24	3.5502549004309167
Sftpb	8.655933069906386e-21	3.1554169318220673	4.780455572116637	0.4083278018002959	3.0414381833824265e-24	0.24363612594718148
Sftpa1	6.713222471739172e-19	6.006084428921483	9.127601098757205	0.729234820389666	3.264524221454071e-22	0.17074476013889078
Akap5	6.713222471739172e-19	5.345578865533837	2.7075527691755163	9.805099171282427	3.538240937318608e-22	2.9143480468075063
Cxcl15	6.86281298472653e-19	5.228100926066617	7.717638875030012	1.0195962980570679	4.2199306828079506e-22	0.2316678090258832
Clic5	7.841421854594652e-18	4.7390813053248255	2.6443586200266367	8.280160130471765	5.5104861943743164e-21	2.5464453688709527
Cav1	8.94893608491888e-18	4.384348786816015	2.0541161736565696	8.323551537633174	7.074879195736992e-21	3.052782215049293
Slc34a2	1.3064144056190136e-16	5.129037614465891	7.508462563484128	1.1066763911255388	1.239101196952468e-19	0.2475977740287402
Lamp3	1.3064144056190136e-16	4.085362003612396	6.367223932018608	0.22792874368760868	1.2623470187815486e-19	0.16667455136675316
Hopx	1.3203148109416462e-16	3.366238787549456	1.706107677836738	6.172650901587621	1.39175840928494e-19	2.6505415731725197
Sftpd	2.2326503336500293e-16	4.4680208588628165	6.659312392815638	0.7636946943235207	2.571659527682232e-19	0.23026801935613037
Acsl4	2.2326503336500293e-16	3.845270650502986	5.534979315050261	0.988858384244497	2.8384750628243086e-19	0.30434042532683986
Cbr2	2.2326503336500293e-16	4.164910955344306	6.562607024789936	0.11166283794812112	2.941826686994944e-19	0.1469946586281864
Cd36	3.003583503890186e-16	4.171810092703202	6.416783042263199	0.3767367732089217	4.2214806800986446e-19	0.18562451744426606
Col4a4	4.953503814332162e-16	3.0125562385936426	1.3154110483167156	5.8815397745379725	7.39718594902027e-19	2.9720596606554133
Col4a3	1.3642523591783855e-14	3.6982911669273717	1.7063424131411367	7.065633107851722	2.1571101954682834e-17	2.980270740571325
Limch1	5.3879980306031366e-14	3.9848441864836595	2.313136447643183	6.810826316428275	8.992617935827442e-17	2.3575323382725597
Pmp22	6.78294952783046e-14	2.8405871051867764	1.1306771027106985	5.731149252229669	1.1916636556272768e-16	3.159159707337231
Ahnak	1.0383068060214986e-13	4.674715494575006	3.0277156012540862	7.4589295999508485	1.9153586548182952e-16	2.100180458947261
S100a6	1.1213437176768215e-13	3.741250253395462	1.9581422071342305	6.7555519506465895	2.1670381051379192e-16	2.6217644073845805
Chil1	2.23980184146933e-13	3.7366147797774065	5.837515367181829	0.1850923582127899	4.525249679707887e-16	0.17332207601329913
Sftpc	2.3370514123330293e-13	9.543054871756373	12.271974724178977	4.929880835518159	4.927023356991629e-16	0.4467971766639264
Scd1	3.1971306461247243e-13	4.227234343623395	6.399306441733114	0.5553981777712549	7.021105600238765e-16	0.21020864455600777
Fbln5	2.235120922851832e-12	2.3601543530599622	0.8820123223516523	4.858918262114487	5.1048088540185904e-15	3.1131136563407438
Emp2	8.352940111055768e-12	6.616462005872445	4.96048475214929	9.415852125261589	1.9811084240908796e-14	1.7474840652022035
Dag1	1.0348812275289468e-11	3.869683793736004	2.47955423613464	6.219664712538309	2.545386012896215e-14	2.074882074710373
Dpysl2	1.1914030507774854e-11	6.518149657450423	4.594539391816817	9.76996701125961	3.097667528243727e-14	1.9250855623633532
Agrn	1.1914030507774854e-11	3.096647583735187	1.6651919301913387	5.516489283773597	3.1396777515218345e-14	2.445035650136374
Tspan8	2.2688504819739865e-11	4.185757526390693	2.5039391304822556	7.0288314813787665	6.178352507132254e-14	2.291372989768158
Etv5	2.2699289953765176e-11	3.1742832122354088	4.810408797267423	0.4084518661098608	6.38068586191572e-14	0.2424015099888052
Ly6e	3.7184325021429894e-11	3.130831619763043	4.866226626739635	0.19718767939785228	1.077901199672511e-13	0.20408138920865934
Hc	3.759382470852331e-11	3.2144572531457465	4.9867347655651075	0.21846431548444703	1.1227951863051587e-13	0.2035273589357741
Sema3a	4.1873922734321164e-11	2.999414525981062	1.4837050873326019	5.561685243696316	1.2874097818879486e-13	2.6418938694300853
Tinagl1	5.0075993151871954e-11	2.385136999984967	1.1134564744063826	4.534882650367811	1.6170467230360116e-13	2.6188770468634424
Lmo7	5.0075993151871954e-11	5.273326826914959	3.7853870830599132	7.7886535367651515	1.627557753530624e-13	1.8365606343270848
Lgals3	5.118822505756541e-11	3.225050828707054	1.7765911153721403	5.673637486963694	1.708672305154151e-13	2.403536282319783
Ager	5.2324627363926636e-11	7.117864087500456	5.497568474352551	9.856935243060011	1.792568927611682e-13	1.6709227899505665
Qk	1.1232767460166452e-10	4.963288069659588	3.3282245917754327	7.727323948939945	3.9468613704028286e-13	2.0163750202620623
Myh9	2.350526680184257e-10	4.11848606805405	2.933338931514723	6.121949084584819	8.465530032286941e-13	1.8106624444494965
Fxyd3	2.6373468100683177e-10	1.3985046552758695	0.42737747646304936	3.040172028983256	9.73019729645725e-13	2.8304860456356264
Dram1	3.268056623041105e-10	3.739577700525016	5.34292050378505	1.029164866442576	1.2344205445429332e-12	0.31991018415439704
Msln	4.806645085197465e-10	2.7962235636739377	1.343335478671194	5.2522962787976235	1.8578037925921333e-12	2.6681183021831067
Cd74	4.918330376949745e-10	2.0506724091943735	3.2637462287178063	0.0	1.9441748679088066e-12	0.23453553433003443
Id3	8.263035525084253e-10	2.9888004759165656	1.4963773048035158	5.511706312798149	3.338893483431796e-12	2.6084623907885875
Lamc1	8.961014746726319e-10	1.9206710303827816	0.8106530426256471	3.7971300096865095	3.6996459337327565e-12	2.6493921788186103
Vegfa	1.2341007292729031e-09	3.5205772704024123	2.297616476508509	5.587963374365915	5.2035167783818825e-12	1.9977955051162286
Ptrf	1.423578100831749e-09	4.300166025354171	2.9091660337309104	6.651618392145878	6.1274883117318776e-12	1.9573531352013638
Gprc5a	1.6942932278465913e-09	4.933044470950694	3.3083429396914963	7.679563726174579	7.441554936079547e-12	2.014594438667431
Egfl6	2.50053299244228e-09	3.422578932067197	4.904517739878408	0.9173966617196757	1.1202317517090326e-11	0.32473383029570857
Lyz2	3.2477971210662506e-09	4.665559878342134	7.2522012064858234	0.29290429981351584	1.483533470620564e-11	0.15667387009387954
Clic3	3.2515905771826833e-09	5.084369914399454	3.691023078876346	7.4397895649266115	1.5138290635161827e-11	1.799136227432123
Ctsc	3.419810207488294e-09	5.546695347749906	7.028411638744126	3.041889236783481	1.6221868517600832e-11	0.5034481811169
mt-Rnr2	3.478600481771772e-09	11.326608239082525	10.963830900047935	11.939874693164807	1.6806309425285267e-11	1.0815828810413026
Ndnf	4.055667457571632e-09	3.7154091830208573	2.1019641341629005	6.4428996227569275	1.9950577795503463e-11	2.3994151127622487
Igfbp6	4.23570300971633e-09	2.258800042743407	1.0576638907574467	4.289292109195864	2.1322686652291745e-11	2.570532599106272
Timp3	4.23570300971633e-09	6.667563923063149	5.126565748139437	9.272584647338947	2.158035616334743e-11	1.676728051185708
Npnt	4.269124022065044e-09	2.920257965874649	1.6702944972184888	5.033291448602921	2.2125642770716586e-11	2.2594105087987475
Scnn1g	5.609147001641546e-09	1.6086198296600442	0.40666477221506	3.640496236293232	2.956331870155418e-11	3.2989354165640274
Pi4k2b	5.747402143077145e-09	2.714820839923856	3.9842638563886696	0.5688576454238103	3.079686671887789e-11	0.31476215758780485
Nupr1	6.059375348239975e-09	2.4049979397343035	3.7782206519921604	0.08359764044125945	3.300081444051989e-11	0.22677848499723013
Dbi	7.214510486597536e-09	3.794908091215522	4.880470439186356	1.9597907886934007	4.003971030008653e-11	0.5033255109948191
Cux1	7.214510486597536e-09	3.8588431561464267	2.6498551188813653	5.902608647713555	4.055944054306415e-11	1.8912007252027905
